"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169"
"1",1,0,0.248387096774194,0.257234726688103,0,0,0.790322580645161,0,0,0,0,0,0,0,0,0,0.808777429467085,0,0,0,0.820598006644518,0,0.851132686084142,0,0,0.830065359477124,0,0,0,0.250814332247557,0,0,0,0.260188087774295,0.545161290322581,0,0.78525641025641,0.277777777777778,0,0.24203821656051,0.99672131147541,0,0,0,0,0,0,0,0.476780185758514,0,0.931818181818182,0,0,0,0,0,0,0,0.237341772151899,0,0,0.801980198019802,0,0,0,0,0,0.0599369085173502,0.917808219178082,0,0.0228758169934641,0,0,0.00649350649350649,0.264331210191083,0,0,0,0,1,0,0,0,0,0,0.252396166134185,0,0,0.819354838709677,0,0,0,0.237623762376238,0,0,0.942760942760943,0,0,0.222591362126246,1,0.260726072607261,0,0,0,0.720779220779221,0,1,0.990196078431373,0.249169435215947,0.996794871794872,0,0.818481848184819,1,1,0.243421052631579,1,0,0,0,1,0,0.259868421052632,0,1,0,0,0.247422680412371,0.266447368421053,0.255892255892256,0,0,0.263513513513513,1,0.780405405405405,0,0,0.264214046822742,0.804560260586319,0.717532467532468,0.245033112582781,0.275409836065574,0,0,0,0,0,0,0.777049180327869,0.222222222222222,0.254777070063694,0.0646153846153846,0.236065573770492,0.259136212624585,0.996710526315789,0,0,0.212903225806452,0,0,0,0.2508038585209,0.227129337539432,0,0.254237288135593,0.258899676375405,0,0,0,0
"2",0,1,0,0,1,0,0,0,0.0252365930599369,0.966463414634146,1,0.877813504823151,0.977635782747604,0.813664596273292,0.576051779935275,0.738317757009346,0,0.987381703470032,0.961904761904762,0.972307692307692,0,0,0,0,1,0,1,1,0,0.0289389067524116,0.596825396825397,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.719626168224299,0.273333333333333,0,0.515723270440252,0,0.878205128205128,0.703470031545741,0.0264900662251656,0.838815789473684,0.700617283950617,0,0,0,0.0223642172523962,0.799342105263158,0,0,0,1,0,0.829581993569132,0,0,0.970967741935484,0,1,0.851132686084142,0,0,0.809375,0.794212218649518,0,0.815873015873016,0,0.287066246056782,0,0,0.40809968847352,0,0.00316455696202532,0.862619808306709,0.726153846153846,0,1,1,0.952229299363057,0,0,0.952380952380952,0,0.740506329113924,1,0.00630914826498423,0,0,1,0.721003134796238,1,0,0.0228758169934641,0,0,0,0,0.972307692307692,0,0,0,0,0,1,0.695121951219512,0.987577639751553,0,0,0,0,0,0.984423676012461,0,0,0,0,0.785714285714286,0.578778135048232,0,0,0,0.715654952076677,0,0,0,0,0.00955414012738853,0,0.731629392971246,0,1,0,1,0.912457912457912,0,0.0126984126984127,0,0.646525679758308,0.0065359477124183,0,0,0.967105263157895,0.470198675496689,0.0353697749196141,0,0,0.436893203883495,0,0.0347003154574132,0,0,0,0.703333333333333,0,0.984276729559748,0
"3",0.248387096774194,0,1,1,0,0,0.0221518987341772,0,0,0,0,0,0,0,0,0,0.0393939393939394,0,0,0,0.058252427184466,0,0.0509554140127389,0,0,0.0477707006369427,0,0,0,0.983870967741935,0,0,0,0.993865030674847,0.714285714285714,0,0.0307692307692308,0.993769470404984,0,1,0.236024844720497,0,0,0,0,0,0,0,0,0,0.159235668789809,0,0,0,0,0,0,0,0.993589743589744,0,0,0.028125,0,0,0,0,0,0,0.315789473684211,0,0,0,0,0,1,0,0,0,0,0.229813664596273,0,0,0,0,0,0.996894409937888,0,0,0.0372670807453416,0,0,0,1,0,0,0.141025641025641,0,0,0.996815286624204,0.229299363057325,1,0,0,0,0,0,0.229299363057325,0.277258566978193,1,0.227848101265823,0,0.0414012738853503,0.2508038585209,0.255451713395639,1,0.265822784810127,0,0,0,0.261682242990654,0,1,0,0.238907849829352,0,0,1,0.993589743589744,1,0,0,1,0.25625,0.0487012987012987,0,0,1,0.03125,0,0.993710691823899,1,0,0,0,0,0,0,0.012779552715655,0.99016393442623,1,0,0.996742671009772,0.993569131832797,0.225396825396825,0,0,0.97427652733119,0,0,0,1,0.977987421383648,0,1,1,0,0,0,0
"4",0.257234726688103,0,1,1,0,0,0.0342679127725857,0,0,0,0,0,0,0,0,0,0.0510510510510511,0,0,0,0.0622950819672131,0,0.0537974683544304,0,0,0.0477707006369427,0,0,0,0.97196261682243,0,0,0,0.993846153846154,0.701538461538462,0,0.0342679127725857,0.993690851735016,0,1,0.239263803680982,0,0,0,0,0,0,0,0,0,0.156739811912226,0,0,0,0,0,0,0,0.993769470404984,0,0,0.0282131661442006,0,0,0,0,0,0,0.309210526315789,0,0,0,0,0,1,0,0,0,0,0.226993865030675,0,0,0,0,0,0.996904024767802,0,0,0.0347003154574132,0,0,0,1,0,0,0.137380191693291,0,0,0.993690851735016,0.21656050955414,1,0,0,0,0,0,0.237654320987654,0.260606060606061,1,0.227272727272727,0,0.0487012987012987,0.241379310344828,0.257142857142857,1,0.258566978193146,0,0,0,0.252307692307692,0,1,0,0.224489795918367,0,0,1,0.993589743589744,1,0,0,1,0.255520504731861,0.0454545454545455,0,0,1,0.0348101265822785,0,0.990712074303406,1,0,0,0,0,0,0,0.022508038585209,0.990415335463259,1,0,0.990322580645161,0.993589743589744,0.214511041009464,0,0,0.977987421383648,0,0,0,1,0.966867469879518,0,1,1,0,0,0,0
"5",0,1,0,0,1,0,0,0,0.0278637770897833,0.961876832844575,1,0.881619937694704,0.971153846153846,0.817901234567901,0.588957055214724,0.753799392097264,0,0.987616099071207,0.960725075528701,0.969604863221885,0,0,0,0,1,0,1,1,0,0.0311526479750779,0.595015576323987,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.715596330275229,0.283950617283951,0,0.530864197530864,0,0.884146341463415,0.716923076923077,0.0290322580645161,0.847619047619048,0.715568862275449,0,0,0,0.0277777777777778,0.799352750809062,0,0,0,1,0,0.836477987421384,0,0,0.967948717948718,0,1,0.855345911949686,0,0,0.815384615384615,0.8,0,0.824074074074074,0,0.278125,0,0,0.404255319148936,0,0.00311526479750779,0.86984126984127,0.73394495412844,0,1,1,0.947040498442368,0,0,0.946372239747634,0,0.742236024844721,1,0.00613496932515337,0,0,1,0.722741433021807,1,0,0.0257234726688103,0,0,0,0,0.96969696969697,0,0,0,0,0,1,0.703592814371258,0.984709480122324,0,0,0,0,0,0.981651376146789,0,0,0,0,0.784810126582278,0.589905362776025,0,0,0,0.722044728434505,0,0,0,0,0.0122699386503067,0,0.721875,0,1,0,1,0.922330097087379,0,0.0126182965299685,0,0.647761194029851,0.00940438871473354,0,0,0.961661341853035,0.453074433656958,0.034375,0,0,0.430379746835443,0,0.0375,0,0,0,0.713826366559486,0,0.981191222570533,0
"6",0,0,0,0,0,1,0.101639344262295,1,0.761006289308176,0,0,0,0,0,0.138263665594855,0,0.00604229607250755,0,0,0,0.038961038961039,0.803448275862069,0.0426229508196721,1,0,0.053968253968254,0,0,0.790849673202614,0,0.13961038961039,0,0.951456310679612,0,0,1,0.071875,0,0,0,0.00316455696202532,1,0.786624203821656,0,0.789473684210526,0,0.012779552715655,0.461290322580645,0.504559270516717,0.192926045016077,0.0536277602523659,0,0.00946372239747634,0.744186046511628,0,0.00318471337579618,0.952229299363057,0.932098765432099,0,0.754777070063694,0,0.178913738019169,1,1,0,0.945859872611465,0,0.944099378881988,0,0,0.984227129337539,0,0,0.993527508090615,0,0,0,1,0,0,0.474358974358974,0.996894409937888,1,0.324675324675325,0.907643312101911,0,0,0,0.00314465408805031,0,0,0,0,1,0,0.0557377049180328,0,0,0,0,0,0,0.0154320987654321,0,0.270440251572327,0.739130434782609,0,0,0,0.00319488817891374,0,0.00327868852459016,0,0,0,0,0,0.021671826625387,0,0,1,0,1,0,0,1,0,0,0,0,0.129139072847682,0,0,0,0.00974025974025974,0.950617283950617,0,0.170418006430868,0.266666666666667,0,0,0.00967741935483871,1,0,0.907692307692308,0,0,0.0614886731391586,0,0,0.0153846153846154,0,0,0.00320512820512821,0,0.273927392739274,0,0.900621118012422,1,0.27741935483871,0,0,1,0,0,0.02,0.775919732441472,0,0.906976744186046
"7",0.790322580645161,0,0.0221518987341772,0.0342679127725857,0,0.101639344262295,1,0.103448275862069,0.13312693498452,0,0,0.053125,0,0.0804953560371517,0.113564668769716,0.107692307692308,0.918429003021148,0,0.00304878048780488,0.00306748466257669,0.942492012779553,0.12258064516129,0.97444089456869,0.113846153846154,0,0.949367088607595,0,0,0.141065830721003,0.0157728706624606,0.113496932515337,0,0.0588235294117647,0.029940119760479,0.314984709480122,0.101307189542484,0.987577639751553,0.0373831775700935,0,0.0246913580246914,0.795665634674923,0.105769230769231,0.138801261829653,0,0.118694362017804,0,0.100609756097561,0.132686084142395,0.608433734939759,0.129230769230769,0.878504672897196,0.0504731861198738,0.11890243902439,0.138157894736842,0.0886075949367089,0.127272727272727,0.0470219435736677,0.0568862275449102,0.0341614906832298,0.135802469135802,0.111821086261981,0.898461538461538,0.112179487179487,0.101538461538462,0,0.0397553516819572,0.09375,0.162650602409639,0.734426229508197,0.00317460317460317,0.132307692307692,0,0.0759493670886076,0.115264797507788,0.0276923076923077,0.108359133126935,0.0953846153846154,0.100313479623824,0.0974842767295598,0.806153846153846,0.144171779141104,0.103550295857988,0.0835913312693498,0.106707317073171,0.0221518987341772,0.0274390243902439,0.0712074303405573,0.114114114114114,0.921383647798742,0,0,0.0124223602484472,0.0125391849529781,0.089171974522293,0.00311526479750779,0.890675241157556,0.1125,0,0.0185185185185185,0.807692307692308,0.0279503105590062,0,0.104615384615385,0,0.851063829787234,0.141935483870968,0.798780487804878,0.75,0.0192307692307692,0.803738317757009,0,0.918032786885246,0.805194805194805,0.769470404984424,0.0125786163522013,0.77602523659306,0,0.113432835820896,0,0.788343558282209,0.103448275862069,0.0283018867924528,0.109422492401216,0.798013245033113,0,0.10126582278481,0.0253968253968254,0.0410094637223975,0.0188679245283019,0.0838709677419355,0.118012422360248,0.0313479623824451,0.777429467084639,0.871794871794872,0.113924050632911,0.0422960725075529,0.0249221183800623,0.891975308641975,0.84,0.0123839009287926,0.0303030303030303,0.111801242236025,0.0917431192660551,0,0.0267857142857143,0,0.00641025641025641,0.971061093247588,0.00625,0.0182370820668693,0.164670658682635,0.0126984126984127,0.0339506172839506,0.819620253164557,0,0.117263843648208,0.0062111801242236,0.0307692307692308,0.0849056603773585,0.12258064516129,0.0185185185185185,0.00630914826498423,0.0990712074303406,0.0251572327044025,0.0282131661442006,0.108910891089109,0.136942675159236,0,0.0218068535825545
"8",0,0,0,0,0,1,0.103448275862069,1,0.745341614906832,0,0,0,0,0,0.150470219435737,0.0032258064516129,0.0120845921450151,0,0,0,0.0325732899022801,0.786440677966102,0.0441640378548896,0.993827160493827,0,0.05,0,0,0.763076923076923,0,0.158385093167702,0,0.959501557632399,0,0,0.993377483443709,0.0731707317073171,0,0,0,0.00309597523219814,0.996763754045307,0.763406940063092,0,0.778115501519757,0,0.0243161094224924,0.443396226415094,0.523668639053254,0.180722891566265,0.0407523510971787,0,0.0217391304347826,0.732258064516129,0,0.0154320987654321,0.949843260188088,0.929447852760736,0,0.742236024844721,0,0.20440251572327,0.993690851735016,0.996960486322188,0,0.950310559006211,0,0.944954128440367,0,0,0.975,0,0,0.990476190476191,0,0.00308641975308642,0,0.996865203761755,0,0,0.430817610062893,0.990825688073395,0.99390243902439,0.315950920245399,0.914826498422713,0,0,0,0.0062111801242236,0,0,0,0,0.996732026143791,0,0.0575079872204473,0.00303030303030303,0,0,0,0,0,0.0153374233128834,0,0.29483282674772,0.726688102893891,0,0,0,0,0,0.00634920634920635,0,0,0,0,0,0.0329341317365269,0,0,0.996763754045307,0,0.993827160493827,0,0,0.996835443037975,0,0,0,0,0.118971061093248,0,0,0,0.0159235668789809,0.955223880597015,0,0.19811320754717,0.283950617283951,0,0,0.0159235668789809,0.996969696969697,0,0.916167664670659,0,0,0.0668789808917197,0,0,0.0237388724035608,0,0,0,0,0.270967741935484,0,0.908011869436202,0.996884735202492,0.270700636942675,0,0,0.993730407523511,0,0,0.032051282051282,0.750798722044728,0,0.915094339622642
"9",0,0.0252365930599369,0,0,0.0278637770897833,0.761006289308176,0.13312693498452,0.745341614906832,1,0.032258064516129,0.0123076923076923,0.117647058823529,0.0272727272727273,0.173252279635258,0.397515527950311,0.246153846153846,0.174927113702624,0.0220820189274448,0.024390243902439,0.0240963855421687,0.147335423197492,0.964052287581699,0.117460317460317,0.722560975609756,0.0246153846153846,0.12111801242236,0.0248447204968944,0.0247678018575851,0.965732087227414,0,0.404255319148936,0.0279503105590062,0.819314641744548,0,0,0.75,0.123867069486405,0,0.0272727272727273,0,0,0.732484076433121,0.96875,0.0274390243902439,0.984894259818731,0.0179640718562874,0.263636363636364,0.707547169811321,0.288690476190476,0.457317073170732,0.0120481927710843,0.11854103343465,0.272189349112426,1,0.14968152866242,0.264264264264264,0.797507788161994,0.840840840840841,0,1,0.213836477987421,0,0.735668789808917,0.735384615384615,0.028125,0.815384615384615,0.155763239875389,0.724340175953079,0,0.0309597523219814,0.696319018404908,0.0290322580645161,0.13312693498452,0.742236024844721,0,0.184049079754601,0.194444444444444,0.769938650306748,0.173252279635258,0,0.697530864197531,0.750759878419453,0.738738738738739,0.51044776119403,0.836990595611285,0,0.13109756097561,0.245398773006135,0.178787878787879,0.0298507462686567,0.03003003003003,0.0407523510971787,0,0.751572327044025,0.0404984423676012,0,0.25,0.0239520958083832,0,0,0,0.0305810397553517,0.26219512195122,0.028391167192429,0.0306748466257669,1,0,0,0,0,0.0306748466257669,0.168224299065421,0,0,0,0,0.0145772594752187,0.28486646884273,0.018348623853211,0,0.742765273311897,0,0.733532934131736,0,0.0182926829268293,0.737012987012987,0,0,0,0.20625,0.386792452830189,0,0,0.217252396166134,0.273291925465839,0.800595238095238,0,0,0.027355623100304,0,0,0.246875,0.739393939393939,0.0224358974358974,0.843657817109145,0.0189873417721519,0.0911949685534591,0.167721518987342,0,0,0.255014326647564,0,0,0,0.028391167192429,0.491909385113269,0,0.8486646884273,0.74375,0.517571884984026,0,0,0.746875,0,0,0.282467532467532,0.969040247678019,0.0276073619631902,0.84472049689441
"10",0,0.966463414634146,0,0,0.961876832844575,0,0,0,0.032258064516129,1,0.966767371601209,0.92603550295858,0.997005988023952,0.87202380952381,0.653614457831325,0.792792792792793,0.00571428571428571,0.987841945288754,0.994082840236686,0.994202898550725,0,0,0,0,0.964071856287425,0,0.970238095238095,0.966767371601209,0,0.00914634146341463,0.652818991097923,0.966966966966967,0,0,0,0,0,0,0.967741935483871,0,0,0,0,0.967065868263473,0,0.973451327433628,0.769679300291545,0.329192546583851,0,0.597667638483965,0,0.917159763313609,0.759530791788856,0.034375,0.903614457831325,0.777126099706745,0,0,0,0.03003003003003,0.84472049689441,0,0,0,0.966463414634146,0,0.890243902439024,0,0,0.993975903614458,0,0.959752321981424,0.915915915915916,0,0,0.864705882352941,0.855882352941176,0,0.873900293255132,0,0.330357142857143,0,0,0.486646884272997,0,0,0.920118343195266,0.787790697674419,0.00303030303030303,0.964497041420118,0.970501474926254,0.978851963746224,0,0,0.98780487804878,0,0.787425149700599,0.967261904761905,0.00309597523219814,0,0,0.967455621301775,0.770833333333333,0.966360856269113,0,0.0280373831775701,0,0,0,0,1,0.00615384615384615,0,0,0,0,0.965116279069767,0.759206798866855,0.982352941176471,0,0,0,0,0,0.982035928143713,0,0,0,0,0.84,0.643076923076923,0,0,0.00928792569659443,0.780487804878049,0,0,0,0,0.00303030303030303,0,0.785932721712538,0,0.965408805031447,0,0.97239263803681,0.933333333333333,0,0.00619195046439629,0,0.714689265536723,0.00613496932515337,0,0,0.996875,0.54320987654321,0.0152905198776758,0,0,0.516616314199396,0,0.0119760479041916,0,0,0,0.759375,0,0.981818181818182,0
