"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169"
"11",0,0.179245283018868,0,0,0.85625,0,0,0,0,0.0634441087613293,1,0.0691823899371069,0.0628930817610063,0.00909090909090909,0,0,0,0.0949367088607595,0.0672782874617737,0.0696969696969697,0,0,0,0,0.648318042813456,0,0.721003134796238,0.869969040247678,0,0,0,0.921135646687697,0,0,0,0,0,0,0.137071651090343,0,0,0,0,0.69375,0,0.277258566978193,0,0,0,0,0,0.065625,0,0,0.0418006430868167,0.0282131661442006,0,0,0,0,0.0737179487179487,0,0,0,0.934375,0,0.0536277602523659,0,0,0.0630914826498423,0,0.850649350649351,0.0626959247648903,0,0,0.0279503105590062,0.06875,0,0.059375,0,0,0,0,0,0,0,0,0,0,0.94478527607362,0.875776397515528,0.00320512820512821,0,0,0.00946372239747634,0,0,0.877675840978593,0,0,0,0.867088607594937,0,0.922330097087379,0,0,0,0,0,0,0.32398753894081,0,0,0,0,0,0.870769230769231,0,0.749244712990937,0,0,0,0,0,0.717460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864864864864865,0,0.862619808306709,0,0,0,0,0,0,0,0,0.319218241042345,0,0,0,0,0,0,0,0,0,0,0,0,0.722397476340694,0
"12",0,0.958199356913183,0,0,0.00311526479750779,0,0,0,0,0.985207100591716,0.0691823899371069,1,1,0.295384615384615,0,0.222929936305732,0,0.977777777777778,1,1,0,0,0,0,0.303405572755418,0,0.138801261829653,0,0,0,0,0.0125391849529781,0,0,0,0,0,0,0.885885885885886,0,0,0,0,0.102484472049689,0,0.725903614457831,0.0600600600600601,0,0,0,0,1,0,0,0.942675159235669,0.737654320987654,0,0,0,0,0.980519480519481,0,0,0,0,0,1,0,0,1,0,0,0.993690851735016,0,0,0.928571428571429,0.993650793650794,0,0.993788819875776,0,0,0,0,0,0,0,0.146496815286624,0.0303030303030303,0,0,0.0246153846153846,0.183800623052959,0,0,0.210526315789474,0,0.043343653250774,0.00307692307692308,0,0,0,0,0.00920245398773006,0,0,0,0,0,0,0,0.0484848484848485,0,0,0,0,0,0,0.00879765395894428,0.024390243902439,0,0,0,0,0,0.0284810126582278,0,0,0,0,0.0447284345047923,0,0,0,0,0.00634920634920635,0,0,0,0,0,0,0.0407523510971787,0,0,0,0,0.0384615384615385,0,0,0,0.0324483775811209,0,0,0,0.0476190476190476,0,0,0,0,0.00325732899022801,0,0,0,0,0,0.00657894736842105,0,0.0349206349206349,0
"13",0,0.904153354632588,0,0,0.00320512820512821,0,0,0,0,0.955089820359281,0.0628930817610063,1,1,0.35202492211838,0,0.235668789808917,0,0.962145110410095,1,1,0,0,0,0,0.373417721518987,0,0.226708074534162,0,0,0,0,0.015625,0,0,0,0,0,0,0.858461538461538,0,0,0,0,0.185303514376997,0,0.717391304347826,0.0959752321981424,0.0033003300330033,0,0,0,0.996894409937888,0.00307692307692308,0,0.870550161812298,0.598159509202454,0,0,0,0,0.957792207792208,0,0,0,0,0,0.993630573248408,0,0,0.996951219512195,0,0,0.984025559105431,0,0,0.872670807453416,0.990445859872611,0,0.969135802469136,0,0,0,0,0,0,0,0.220447284345048,0.0652173913043478,0,0,0.0404984423676012,0.235483870967742,0,0,0.263322884012539,0,0.0880503144654088,0.00308641975308642,0,0,0,0,0.0155763239875389,0,0,0,0,0,0,0,0.0897832817337461,0,0,0,0,0,0,0.0121212121212121,0.03125,0,0,0,0,0,0.0351437699680511,0,0,0,0,0.0958466453674121,0,0,0,0,0.0159235668789809,0,0,0,0,0,0,0.0764331210191083,0,0,0,0,0.0888157894736842,0,0,0,0.0741839762611276,0,0,0,0.100977198697068,0,0,0,0,0.00309597523219814,0,0,0,0,0,0.0133779264214047,0,0.0483870967741935,0
"14",0,0.260869565217391,0,0,0.00308641975308642,0,0,0,0.00911854103343465,0.383928571428571,0.00909090909090909,0.295384615384615,0.35202492211838,1,0.024390243902439,0.819875776397516,0,0.293929712460064,0.326219512195122,0.328313253012048,0,0,0,0,0.115501519756839,0,0.0869565217391304,0,0.00638977635782748,0,0.00934579439252336,0.0062111801242236,0,0,0,0,0,0,0.198795180722892,0,0,0,0,0.0861538461538462,0,0.203030303030303,0.606060606060606,0.0189873417721519,0,0.0245398773006135,0,0.332298136645963,0.104615384615385,0.00980392156862745,0.424050632911392,0.279761904761905,0,0,0,0.00934579439252336,0.337704918032787,0,0,0,0,0,0.350609756097561,0,0,0.333333333333333,0,0,0.311526479750779,0,0,0.453172205438066,0.337423312883436,0,0.414110429447853,0,0.00914634146341463,0,0,0,0,0,0.947040498442368,0.748484848484849,0,0.0031055900621118,0.0123076923076923,0.925,0,0,0.929012345679012,0,0.780185758513932,0.0060790273556231,0,0,0,0.0031055900621118,0.323262839879154,0,0,0.0127388535031847,0,0,0,0,0.661538461538462,0,0,0,0,0,0.003003003003003,0.204747774480712,0.223564954682779,0,0,0,0,0,0.229813664596273,0,0,0,0,0.761755485893417,0.0664556962025316,0,0,0.0256410256410256,0.312883435582822,0,0,0,0,0,0,0.744479495268139,0,0.00324675324675325,0,0,0.764516129032258,0,0,0,0.730205278592375,0,0,0,0.598070739549839,0.00317460317460317,0,0,0,0.0632911392405063,0,0,0,0,0,0.228758169934641,0.00970873786407767,0.155015197568389,0
"15",0,0,0,0,0,0,0,0.00313479623824451,0.987577639751553,0,0,0,0,0.024390243902439,1,0.194888178913738,0,0,0,0,0,0.316666666666667,0,0,0,0,0,0,0.395424836601307,0,0.789137380191693,0,0,0,0,0,0,0,0,0,0,0,0.328125,0,0.352409638554217,0,0.446153846153846,0.760252365930599,0,1,0,0,0.720496894409938,0.769480519480519,0,0.2,0.250793650793651,0.229102167182663,0,0.471698113207547,0.032051282051282,0,0,0,0,0.0619195046439628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744479495268139,0.00305810397553517,0.0153374233128834,0.866666666666667,0.713395638629283,0,0.012779552715655,0.2,0,0,0,0.0126182965299685,0,0,0.00946372239747634,0,0.239130434782609,0,0,0,0,0,0.652307692307692,0,0,0.99344262295082,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0.798192771084337,0,0,0,0,0,0,0,0,0,0,0,0.19047619047619,0.885993485342019,0,0,0.0738255033557047,0.666666666666667,0.0516717325227964,0,0,0,0,0,0.256965944272446,0.00314465408805031,0,0.688821752265861,0,0.161716171617162,0,0,0,0.285294117647059,0,0,0,0.00649350649350649,0.867924528301887,0,0.275229357798165,0,0.789968652037618,0,0,0,0,0,0.702970297029703,0.983974358974359,0,0.727564102564103
"16",0,0.155763239875389,0,0,0,0,0,0,0.175384615384615,0.27027027027027,0,0.222929936305732,0.235668789808917,0.819875776397516,0.194888178913738,1,0,0.180064308681672,0.218068535825545,0.213213213213213,0,0.00671140939597315,0,0,0.00949367088607595,0,0,0,0.0451612903225806,0,0.126543209876543,0,0,0,0,0,0,0,0.104294478527607,0,0,0,0.00313479623824451,0,0.0149700598802395,0.102803738317757,0.773584905660377,0.153846153846154,0,0.209375,0,0.261006289308176,0.213166144200627,0.129032258064516,0.340909090909091,0.419452887537994,0,0.00313479623824451,0,0.0984126984126984,0.314102564102564,0,0,0,0,0.00625,0.245283018867925,0,0,0.212218649517685,0,0,0.255451713395639,0,0,0.346031746031746,0.261146496815287,0,0.296296296296296,0,0.136645962732919,0,0,0.12,0.0566037735849057,0,0.826625386996904,0.747663551401869,0,0,0,0.787781350482315,0,0,0.786163522012579,0,0.777777777777778,0,0,0,0,0,0.314641744548287,0,0,0.183606557377049,0,0,0,0,0.571428571428571,0,0,0,0,0,0,0.341463414634146,0.18266253869969,0,0,0,0,0,0.2,0,0,0,0,0.737864077669903,0.205128205128205,0,0,0.112211221122112,0.313099041533546,0,0,0,0,0,0,0.737864077669903,0,0,0.0574018126888218,0,0.724025974025974,0,0,0,0.760606060606061,0,0,0,0.513245033112583,0.130434782608696,0,0.00305810397553517,0,0.185064935064935,0,0,0,0,0,0.225165562913907,0.168284789644013,0.129337539432177,0.0662460567823344
"17",0.520376175548589,0,0,0,0,0,0.688821752265861,0,0,0,0,0,0,0,0,0,1,0,0,0,0.775757575757576,0,0.996941896024465,0,0,0.946268656716418,0,0,0,0,0,0,0,0.0233236151603499,0.124260355029586,0,0.988472622478386,0.023598820058997,0,0.00298507462686567,0.800595238095238,0,0,0,0,0,0,0,0.57909604519774,0,0.947058823529412,0,0,0,0,0,0,0,0.0147058823529412,0,0,0.774096385542169,0,0,0,0,0,0.185915492957746,0.319148936170213,0,0,0,0,0,0,0,0,0,0,0.42433234421365,0,0,0,0,0,0,0,0,0.928783382789317,0,0,0,0,0,0,0.929447852760736,0,0,0,0.693939393939394,0,0,0,0,0.654867256637168,0,0.709302325581395,0.52212389380531,0,0.824404761904762,0,0.994100294985251,0.695121951219512,0.68693009118541,0,0.6996996996997,0,0,0,0.654867256637168,0,0,0,0.671009771986971,0,0,0,0.0185185185185185,0,0,0,0,0.677811550151976,0.5,0,0,0,0.904191616766467,0.777126099706745,0,0,0,0,0,0,0,0,0.86890243902439,0,0,0,0,0.018018018018018,0.967455621301775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0.930599369085173,0,0,0.0619195046439628,0,0,0,0,0.924012158054711,0.0949367088607595,0.977777777777778,0.962145110410095,0.293929712460064,0,0.180064308681672,0,1,0.96,0.953846153846154,0,0,0,0,0.417197452229299,0,0.307210031347962,0.0569620253164557,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.905956112852665,0,0,0,0,0.266025641025641,0,0.788643533123028,0.0369230769230769,0,0,0,0,0.952681388012618,0,0,0.818770226537217,0.5625,0,0,0,0,0.916387959866221,0,0,0,0.0285714285714286,0,0.94888178913738,0,0,0.967741935483871,0,0.0625,0.951456310679612,0,0,0.819314641744548,0.938110749185668,0,0.930379746835443,0,0,0,0,0,0,0,0.15210355987055,0.0214723926380368,0,0.0155763239875389,0.0470219435736677,0.187898089171975,0,0,0.19935691318328,0,0.0285714285714286,0.0249221183800623,0,0,0,0.0221518987341772,0.00317460317460317,0.0201342281879195,0,0,0,0,0,0,0.0253164556962025,0,0,0,0,0,0.0181818181818182,0.00303030303030303,0.0154320987654321,0,0,0,0,0,0.0161812297734628,0,0,0,0,0.0292207792207792,0,0,0,0,0,0,0,0,0,0,0,0.0228013029315961,0,0.0303030303030303,0,0.0559210526315789,0.0299003322259136,0,0,0,0.0182926829268293,0,0,0,0.0290322580645161,0,0,0,0,0.00320512820512821,0,0,0,0,0,0.00334448160535117,0,0.0287539936102236,0
"19",0,0.901587301587302,0,0,0.00302114803625378,0,0,0,0,0.961538461538462,0.0672782874617737,1,1,0.326219512195122,0,0.218068535825545,0,0.96,1,0.996960486322188,0,0,0,0,0.342424242424242,0,0.210031347962382,0,0,0,0,0.0186335403726708,0,0,0,0,0,0,0.863501483679525,0,0,0,0,0.157232704402516,0,0.720720720720721,0.0874635568513119,0.00636942675159236,0,0,0,0.996941896024465,0.00914634146341463,0,0.876160990712074,0.619760479041916,0,0,0,0,0.96078431372549,0,0,0,0,0,0.99375,0,0,0.996875,0,0,0.984520123839009,0,0,0.876543209876543,0.990853658536585,0,0.96969696969697,0,0,0,0,0,0,0,0.191222570532915,0.0714285714285714,0,0.0029940119760479,0.0331325301204819,0.217391304347826,0,0,0.240853658536585,0,0.0802469135802469,0.00597014925373134,0,0,0,0.00304878048780488,0.0151057401812689,0,0,0,0,0,0,0,0.0825688073394495,0,0,0,0,0,0.0029673590504451,0.0117647058823529,0.0392749244712991,0,0,0,0,0,0.043343653250774,0,0,0,0,0.082018927444795,0,0,0,0,0.0157232704402516,0,0,0,0,0,0,0.0709876543209877,0,0.00324675324675325,0,0,0.0888888888888889,0,0,0,0.0641399416909621,0,0,0,0.09375,0,0,0,0,0.00619195046439629,0,0,0,0,0,0.0160771704180064,0,0.0467289719626168,0
"20",0,0.88,0,0,0.00303951367781155,0,0,0,0,0.947826086956522,0.0696969696969697,1,1,0.328313253012048,0,0.213213213213213,0,0.953846153846154,0.996960486322188,1,0,0,0,0,0.333333333333333,0,0.183734939759036,0,0,0,0,0.015015015015015,0,0,0,0,0,0,0.865671641791045,0,0,0,0,0.146788990825688,0,0.709580838323353,0.0857988165680473,0.00315457413249211,0,0,0,0.990825688073395,0.00588235294117647,0,0.909937888198758,0.634218289085546,0,0,0,0,0.969325153374233,0,0,0,0,0,0.990712074303406,0,0,0.996913580246914,0,0,0.981762917933131,0,0,0.903323262839879,0.990909090909091,0,0.96048632218845,0,0,0,0,0,0,0,0.218181818181818,0.0749279538904899,0,0.0029585798816568,0.0419161676646707,0.241590214067278,0,0,0.245341614906832,0,0.0906344410876133,0.00887573964497041,0,0,0,0.00305810397553517,0.0178571428571429,0,0,0,0,0,0,0,0.081570996978852,0,0,0,0,0,0.00579710144927536,0.0116279069767442,0.0414201183431953,0,0,0,0,0,0.0364741641337386,0,0,0,0,0.0974842767295598,0,0,0,0,0.0214067278287462,0,0,0,0,0,0,0.084375,0,0.00626959247648903,0,0,0.0984126984126984,0,0,0,0.0689655172413793,0,0,0,0.0940438871473354,0,0,0,0,0.00309597523219814,0,0,0,0,0,0.0188087774294671,0,0.0460122699386503,0
