"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126"
"1",1,0.55,1,0,0.454258675078864,0,0,0.00315457413249211,0.542319749216301,0.453968253968254,0.531147540983607,0,0,0.484177215189873,0.442424242424242,0,0.878698224852071,0.567656765676568,0,0,0,0.542483660130719,0.00613496932515337,0,1,0.962732919254658,1,0.540453074433657,0,0,0.546325878594249,0,0.367088607594937,0.104294478527607,0,0,0,0.511326860841424,0.579439252336449,0,0,0.364217252396166,0.529220779220779,0,0,0.544025157232704,0,1,0,0.553054662379421,0,0,0,0.251572327044025,0,0,0,0.539184952978056,0,0,0.449180327868852,0,0,0.536507936507936,0.561290322580645,0.549668874172185,0,0,0,0.571875,0.470031545741325,0,0,0.0326797385620915,0.544615384615385,0,1,0.962732919254658,0.1198738170347,0.339869281045752,0.559375,1,0,0.303225806451613,0.0723270440251572,0,0.905228758169935,0.569491525423729,0.590625,0.349693251533742,0.546925566343042,0,0,0,0.440514469453376,0,0,0.468152866242038,0.969899665551839,0,0.533742331288344,0,0,0.975077881619938,1,1,0.550955414012739,0.551282051282051,0,0,0.0584615384615385,0.227414330218069,0,0,0.035031847133758,0.580745341614907,0.447619047619048,0,0.541139240506329,0.555900621118012,0.590062111801242,0,0.349693251533742,1,0.955696202531646,0.955974842767296
"2",0.55,1,0.555555555555556,0,0.92948717948718,0,0,0,0.996774193548387,0.905844155844156,1,0,0,0.950166112956811,0.901898734177215,0,0.476780185758514,1,0,0,0.0341296928327645,0.996621621621622,0,0,0.568627450980392,0.520900321543408,0.563758389261745,0.996753246753247,0.0966666666666667,0,1,0,0.0445859872611465,0.520766773162939,0,0,0,1,0.942307692307692,0.0930232558139535,0,0.033112582781457,1,0,0.0930232558139535,0.996865203761755,0,0.583333333333333,0,1,0,0,0,0.656765676567657,0,0,0,1,0,0,0.92358803986711,0,0,0.996632996632997,0.980392156862745,1,0.0754098360655738,0,0,0.967213114754098,0.0488599348534202,0.00645161290322581,0,0.0927152317880795,1,0,0.521594684385382,0.540192926045016,0.532258064516129,0.0474576271186441,1,0.575438596491228,0,0.0897009966777409,0.488294314381271,0.105610561056106,0.460264900662252,1,0.941368078175896,0.0254777070063694,1,0,0,0,0.03,0,0,0.0463576158940397,0.537162162162162,0,0.983660130718954,0,0,0.525806451612903,0.586319218241042,0.564668769716088,0.996655518394649,0.977848101265823,0,0,0.49211356466877,0.665573770491803,0.103896103896104,0.0841750841750842,0.451178451178451,0.954983922829582,0.0306122448979592,0.0740740740740741,0.996742671009772,1,0.940789473684211,0,0.0383386581469649,0.55663430420712,0.623333333333333,0.516025641025641
"3",1,0.555555555555556,1,0,0.476038338658147,0,0,0.00336700336700337,0.552287581699346,0.472491909385113,0.535593220338983,0,0,0.501628664495114,0.448916408668731,0,0.886850152905199,0.574750830564784,0,0,0,0.554098360655738,0.00638977635782748,0,1,0.95583596214511,1,0.538709677419355,0,0,0.565916398713826,0,0.364217252396166,0.108974358974359,0,0,0,0.519867549668874,0.592833876221498,0,0,0.358974358974359,0.538983050847458,0,0,0.551612903225806,0,1,0,0.55700325732899,0,0,0,0.235294117647059,0,0,0,0.559485530546624,0,0,0.468227424749164,0,0,0.546925566343042,0.57,0.556291390728477,0,0,0,0.598726114649682,0.468553459119497,0,0,0.0359477124183007,0.552380952380952,0,1,0.962382445141066,0.125806451612903,0.346801346801347,0.54983922829582,1,0,0.318936877076412,0.076158940397351,0,0.904458598726115,0.561643835616438,0.61038961038961,0.35423197492163,0.54180602006689,0,0,0,0.434210526315789,0,0,0.466019417475728,0.966777408637874,0,0.544585987261146,0,0,0.971337579617834,1,1,0.548821548821549,0.588050314465409,0,0,0.059190031152648,0.244372990353698,0,0,0.0357142857142857,0.59047619047619,0.441471571906354,0,0.543408360128617,0.549520766773163,0.611464968152866,0,0.348909657320872,1,0.963815789473684,0.947194719471947
"4",0,0,0,1,0,0.959866220735786,0.745283018867924,0.540268456375839,0,0,0,0.769230769230769,0.979865771812081,0,0.0031055900621118,0.964968152866242,0,0,0.977917981072555,0.554838709677419,0.786941580756014,0,0.552715654952077,0.715625,0,0,0,0,0.710963455149502,0.728476821192053,0,0.739864864864865,0.222929936305732,0.374592833876221,0.951768488745981,0.928813559322034,0.980066445182724,0,0,0.720394736842105,0.569620253164557,0.21523178807947,0,0.55700325732899,0.693333333333333,0,0.903225806451613,0,0.930921052631579,0,0.749206349206349,0.557755775577558,0.986754966887417,0.237785016286645,0.769736842105263,0.551369863013699,0.964285714285714,0,0.97979797979798,0.55663430420712,0,0.884745762711864,0.940199335548173,0,0,0,0.716612377850163,0.957095709570957,0.954098360655738,0,0.092948717948718,0.563934426229508,0.90032154340836,0.441471571906354,0,0.743506493506494,0,0,0.372611464968153,0.225806451612903,0,0,0.750830564784053,0.194805194805195,0.389078498293515,0.713815789473684,0,0,0,0.210031347962382,0,0.735294117647059,0.980066445182724,0.726962457337884,0.129139072847682,0.737704918032787,0.964285714285714,0.12540192926045,0,0.740131578947368,0,0.721875,0.967320261437909,0,0,0,0,0,0.870253164556962,0.95679012345679,0.383647798742138,0.246710526315789,0.686084142394822,0.709030100334448,0.36734693877551,0,0.145695364238411,0.744107744107744,0,0,0,0.936305732484076,0.21405750798722,0,0,0
"5",0.454258675078864,0.92948717948718,0.476038338658147,0,1,0.0222222222222222,0,0,0.900311526479751,1,0.919614147909968,0,0,0.974603174603175,0.984802431610942,0.0218068535825545,0.36094674556213,0.915032679738562,0.00309597523219814,0,0.120401337792642,0.909677419354839,0,0,0.473186119873817,0.411585365853659,0.470967741935484,0.905362776025237,0.2,0,0.921875,0,0.0182926829268293,0.650455927051672,0.0333333333333333,0.0298013245033113,0,0.908794788273616,0.869969040247678,0.19620253164557,0,0.0124610591900312,0.930379746835443,0,0.211726384364821,0.920489296636086,0.0553846153846154,0.46984126984127,0.0504731861198738,0.925696594427245,0,0,0,0.769470404984424,0,0,0.0161290322580645,0.914373088685015,0.00317460317460317,0,0.99025974025974,0.0517799352750809,0.0325732899022801,0.917460317460317,0.881619937694704,0.917491749174917,0.178683385579937,0.0279503105590062,0.0314465408805031,0.873846153846154,0.0218068535825545,0.00636942675159236,0.0429447852760736,0.0664556962025316,0.928125,0,0.439873417721519,0.41358024691358,0.652173913043478,0.0196078431372549,0.908805031446541,0.481727574750831,0,0.0707395498392283,0.616883116883117,0.220125786163522,0.364779874213836,0.921768707482993,0.872274143302181,0.00923076923076923,0.906752411575563,0,0.00315457413249211,0,0.0133333333333333,0,0.0251572327044025,0.0189274447949527,0.411184210526316,0,0.934984520123839,0,0.0158730158730159,0.416666666666667,0.477064220183486,0.478395061728395,0.904153354632588,0.892307692307692,0.0572289156626506,0.0241691842900302,0.606060606060606,0.769230769230769,0.224615384615385,0.196774193548387,0.557324840764331,0.87962962962963,0.00649350649350649,0.170347003154574,0.920886075949367,0.903426791277259,0.854430379746835,0.0495356037151703,0.0151975683890578,0.470219435736677,0.53015873015873,0.396875
"6",0,0,0,0.959866220735786,0.0222222222222222,1,0.698412698412698,0.470588235294118,0,0.0307692307692308,0,0.722044728434505,0.970684039087948,0.0193548387096774,0.0311526479750779,1,0,0,0.974358974358974,0.487421383647799,0.859060402684564,0,0.476489028213166,0.673913043478261,0,0,0,0,0.790697674418605,0.672077922077922,0,0.699029126213592,0.146875,0.404320987654321,1,0.923841059602649,0.977848101265823,0,0,0.805732484076433,0.510971786833856,0.14375,0,0.495297805642633,0.784565916398714,0,0.942857142857143,0,0.967845659163987,0,0.712025316455696,0.483870967741935,0.983498349834984,0.271293375394322,0.725552050473186,0.491749174917492,1,0,0.976897689768977,0.485342019543974,0.0325732899022801,0.941747572815534,0.97682119205298,0,0,0,0.808917197452229,1,1,0,0.0378548895899054,0.515625,0.895081967213115,0.378205128205128,0,0.691823899371069,0,0,0.408668730650155,0.158576051779935,0,0,0.713375796178344,0.119354838709677,0.459016393442623,0.800632911392405,0,0,0,0.14375,0,0.698051948051948,0.981132075471698,0.704545454545455,0.0643086816720257,0.693811074918567,0.990228013029316,0.0630914826498423,0,0.682847896440129,0,0.673015873015873,1,0,0,0,0,0,0.941358024691358,1,0.45625,0.269592476489028,0.771875,0.799363057324841,0.429967426710098,0,0.0723684210526316,0.816393442622951,0,0,0,0.978056426332288,0.161585365853659,0,0,0
"7",0,0,0,0.745283018867924,0,0.698412698412698,1,0.829581993569132,0,0,0,0.9875,0.723472668810289,0,0,0.697160883280757,0,0,0.73125,0.839009287925697,0.504950495049505,0,0.845201238390093,0.98780487804878,0,0,0,0,0.435064935064935,0.987179487179487,0,0.996784565916399,0.496932515337423,0.12037037037037,0.715151515151515,0.781045751633987,0.781350482315113,0,0,0.46031746031746,0.850609756097561,0.475,0,0.839622641509434,0.453376205787781,0,0.621875,0,0.642405063291139,0,0.987767584097859,0.849358974358974,0.745161290322581,0.0581039755351682,0.980891719745223,0.819672131147541,0.7,0,0.754901960784314,0.836477987421384,0,0.612698412698413,0.671009771986971,0,0,0,0.437106918238994,0.702194357366771,0.710191082802548,0,0.367601246105919,0.830188679245283,0.753894080996885,0.738317757009346,0,0.987421383647799,0,0,0.116352201257862,0.496835443037975,0,0,1,0.450793650793651,0.1198738170347,0.436708860759494,0,0,0,0.484472049689441,0,0.987421383647799,0.725552050473186,0.983818770226537,0.4,0.993690851735016,0.67192429022082,0.364485981308411,0,0.996753246753247,0,1,0.69811320754717,0,0,0,0,0,0.634441087613293,0.709580838323353,0.133136094674556,0.00617283950617284,0.435185185185185,0.450479233226837,0.106109324758842,0,0.425806451612903,0.456869009584665,0,0,0,0.68125,0.498480243161094,0,0,0
"8",0.00315457413249211,0,0.00336700336700337,0.540268456375839,0,0.470588235294118,0.829581993569132,1,0,0,0,0.80448717948718,0.535353535353535,0,0,0.506451612903226,0.124629080118694,0,0.518151815181518,0.996774193548387,0.304347826086957,0,1,0.848101265822785,0.00332225913621262,0.0536277602523659,0.00334448160535117,0,0.241721854304636,0.862295081967213,0,0.803389830508475,0.699059561128527,0.00940438871473354,0.506410256410256,0.570945945945946,0.516339869281046,0,0,0.271241830065359,0.996825396825397,0.717041800643087,0,0.996742671009772,0.254966887417219,0,0.439490445859873,0.00323624595469256,0.428571428571429,0,0.801261829652997,0.996794871794872,0.546979865771812,0.00323624595469256,0.790697674418605,0.996621621621622,0.498381877022654,0,0.544262295081967,1,0,0.401315789473684,0.456081081081081,0,0,0,0.270096463022508,0.486928104575163,0.5,0,0.594249201277955,0.996710526315789,0.557324840764331,0.918831168831169,0,0.838709677419355,0.00334448160535117,0.0474683544303797,0.00952380952380952,0.721854304635762,0,0.00340136054421769,0.829508196721311,0.700325732899023,0.00332225913621262,0.257234726688103,0.101639344262295,0,0,0.729299363057325,0,0.828947368421053,0.523961661341853,0.833333333333333,0.62,0.823920265780731,0.481727574750831,0.589171974522293,0.0437710437710438,0.832775919732441,0,0.822222222222222,0.482084690553746,0.0430769230769231,0.0032258064516129,0,0,0,0.419558359621451,0.493710691823899,0.00632911392405063,0,0.26517571884984,0.263665594855305,0,0,0.627450980392157,0.264406779661017,0,0,0,0.467741935483871,0.704968944099379,0.00323624595469256,0.00323624595469256,0.0521172638436482
"9",0.542319749216301,0.996774193548387,0.552287581699346,0,0.900311526479751,0,0,0,1,0.88125,0.996742671009772,0,0,0.936908517350158,0.877245508982036,0,0.468023255813953,0.996710526315789,0,0,0.0257234726688103,1,0,0,0.574132492113565,0.523809523809524,0.57051282051282,1,0.108910891089109,0,0.996875,0,0.0457317073170732,0.51963746223565,0,0,0,1,0.957055214723926,0.10062893081761,0,0.0315457413249211,1,0,0.115264797507788,1,0,0.568690095846645,0,0.996865203761755,0,0,0,0.656346749226006,0,0,0,1,0,0,0.907936507936508,0,0,1,0.978193146417445,0.996763754045307,0.0914826498422713,0,0,0.974842767295597,0.065015479876161,0.00611620795107034,0,0.0894568690095847,1,0,0.523961661341853,0.528700906344411,0.524096385542169,0.045016077170418,1,0.583606557377049,0,0.0958466453674121,0.482539682539683,0.114649681528662,0.453968253968254,1,0.95,0.031055900621118,0.996763754045307,0,0,0,0.0353697749196141,0,0,0.0523076923076923,0.524271844660194,0,0.972644376899696,0,0,0.515243902439024,0.574074074074074,0.560975609756098,1,0.987767584097859,0,0,0.492447129909366,0.660377358490566,0.116207951070336,0.0914826498422713,0.445901639344262,0.96048632218845,0.0375,0.0774193548387097,1,0.996904024767802,0.949367088607595,0,0.0432098765432099,0.55205047318612,0.638364779874214,0.503048780487805
"10",0.453968253968254,0.905844155844156,0.472491909385113,0,1,0.0307692307692308,0,0,0.88125,1,0.899676375404531,0,0,0.964052287581699,0.987692307692308,0.0251572327044025,0.36283185840708,0.891803278688525,0.0031055900621118,0,0.135922330097087,0.897106109324759,0,0,0.487421383647799,0.418181818181818,0.485623003194888,0.887147335423197,0.213592233009709,0,0.900621118012422,0,0.0123076923076923,0.651515151515151,0.0368098159509202,0.0426229508196721,0,0.889589905362776,0.858490566037736,0.221518987341772,0,0.0093167701863354,0.909385113268608,0,0.222929936305732,0.895705521472393,0.0652173913043478,0.475,0.0716510903426791,0.904615384615385,0,0,0,0.786833855799373,0,0,0.0254777070063694,0.892966360856269,0.0032258064516129,0,0.990353697749196,0.0705128205128205,0.0480769230769231,0.895061728395062,0.869009584664537,0.889967637540453,0.191693290734824,0.0347003154574132,0.043613707165109,0.852760736196319,0.0182926829268293,0.00309597523219814,0.059748427672956,0.0610932475884244,0.903846153846154,0,0.436305732484076,0.413793103448276,0.652439024390244,0.0129032258064516,0.882539682539683,0.483443708609272,0,0.0654205607476635,0.611650485436893,0.225705329153605,0.368589743589744,0.902684563758389,0.847826086956522,0.00609756097560976,0.878980891719745,0,0.00308641975308642,0,0.0129449838187702,0,0.0319488817891374,0.015527950310559,0.42443729903537,0,0.922839506172839,0,0.0282131661442006,0.420731707317073,0.475,0.486404833836858,0.881987577639752,0.867692307692308,0.0720720720720721,0.0364741641337386,0.603658536585366,0.784810126582278,0.246875,0.213375796178344,0.558064516129032,0.857142857142857,0.00318471337579618,0.192182410423453,0.892405063291139,0.876971608832808,0.841269841269841,0.0590062111801242,0.00615384615384615,0.48125,0.530944625407166,0.405750798722045
