"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126"
"1",1,0.00333333333333333,0.727272727272727,0,0,0,0,0,0.00626959247648903,0,0.00327868852459016,0,0,0,0,0,0.994082840236686,0.0066006600660066,0,0,0,0.0065359477124183,0,0,0.993355481727575,0.993788819875776,0.96078431372549,0.00323624595469256,0,0,0.00638977635782748,0,0,0,0,0,0,0.00647249190938511,0.0498442367601246,0,0,0,0.00649350649350649,0,0,0,0,0.974921630094044,0,0.00321543408360129,0,0,0,0,0,0,0,0.00313479623824451,0,0,0,0,0,0.00634920634920635,0.00645161290322581,0,0,0,0,0.0125,0,0,0,0,0,0,1,0.993788819875776,0,0,0.00625,0.993288590604027,0,0,0,0,0.993464052287582,0.00677966101694915,0.003125,0,0.00647249190938511,0,0,0,0,0,0,0,0.996655518394649,0,0.00613496932515337,0,0,0.996884735202492,0.987460815047022,1,0.00318471337579618,0.00641025641025641,0,0,0,0,0,0,0,0.0186335403726708,0,0,0.00316455696202532,0.0031055900621118,0.0093167701863354,0,0,1,0.572784810126582,0.99685534591195
"2",0.00333333333333333,1,0.245791245791246,0,0.243589743589744,0,0,0,0.951612903225806,0.172077922077922,0.908474576271186,0,0,0.827242524916944,0.227848101265823,0,0,0.972602739726027,0,0,0,0.986486486486487,0,0,0,0,0.0838926174496644,0.925324675324675,0,0,0.940789473684211,0,0,0.124600638977636,0,0,0,0.910299003322259,0.810897435897436,0,0,0,0.929292929292929,0,0,0.890282131661442,0,0.0133333333333333,0,0.944444444444444,0,0,0,0.174917491749175,0,0,0,0.918032786885246,0,0,0.684385382059801,0,0,0.929292929292929,0.911764705882353,0.899665551839465,0,0,0,0.875409836065574,0,0,0,0,0.895424836601307,0,0,0,0.145161290322581,0,0.900990099009901,0,0,0,0.1438127090301,0,0,0.878048780487805,0.915309446254072,0,0.93687707641196,0,0,0,0,0,0,0,0,0,0.993464052287582,0,0,0,0,0,0.919732441471572,0.914556962025316,0,0,0.17981072555205,0.177049180327869,0.00974025974025974,0,0,0.935691318327974,0,0,0.993485342019544,0.986928104575163,0.898026315789474,0,0,0.00323624595469256,0.436666666666667,0
"3",0.727272727272727,0.245791245791246,1,0,0,0,0,0,0.287581699346405,0,0.254237288135593,0,0,0.0912052117263844,0,0,0.715596330275229,0.219269102990033,0,0,0,0.288524590163934,0,0,0.730263157894737,0.703470031545741,0.794019933554817,0.293548387096774,0,0,0.221864951768489,0,0,0,0,0,0,0.211920529801325,0.198697068403909,0,0,0,0.267796610169492,0,0,0.232258064516129,0,0.791390728476821,0,0.117263843648208,0,0,0,0,0,0,0,0.260450160771704,0,0,0,0,0,0.333333333333333,0.286666666666667,0.225165562913907,0,0,0,0.270700636942675,0,0,0,0,0.250793650793651,0,0.755627009646302,0.714733542319749,0,0,0.260450160771704,0.732876712328767,0,0,0,0,0.713375796178344,0.25,0.311688311688312,0,0.237458193979933,0,0,0,0,0,0,0,0.720930232558139,0,0.248407643312102,0,0,0.71656050955414,0.719354838709677,0.712538226299694,0.259259259259259,0.286163522012579,0,0,0,0,0,0,0,0.307936507936508,0,0,0.270096463022508,0.21405750798722,0.28343949044586,0,0,0.715210355987055,0.842105263157895,0.71947194719472
"4",0,0,0,1,0,0.270903010033445,0.757861635220126,0.00335570469798658,0,0,0,0.967948717948718,0.5,0,0,0.213375796178344,0,0,0.350157728706625,0.483870967741935,0,0,0.00319488817891374,0.521875,0,0,0,0,0,0.486754966887417,0,0.972972972972973,0,0,0.527331189710611,0.976271186440678,1,0,0,0.00328947368421053,0.455696202531646,0,0,0.0781758957654723,0,0,0.238709677419355,0,0.259868421052632,0,0.758730158730159,0.471947194719472,0.986754966887417,0,0.690789473684211,0.0308219178082192,0.538961038961039,0,0.942760942760943,0.456310679611651,0,0.261016949152542,0.262458471760797,0,0,0,0,0.514851485148515,0.99344262295082,0,0,0.245901639344262,0.742765273311897,0,0,0.50974025974026,0,0,0,0,0,0,0.973421926910299,0,0,0,0,0,0,0,0,0.686274509803922,0.521594684385382,0.515358361774744,0,0.836065573770492,0.363636363636364,0,0,0.506578947368421,0,0.965625,0.261437908496732,0,0,0,0,0,0.25,0.37037037037037,0.00314465408805031,0,0,0,0,0,0.0033112582781457,0,0,0,0,0.544585987261146,0.00319488817891374,0,0,0
"5",0,0.243589743589744,0,0,1,0,0,0,0.177570093457944,0.962382445141066,0.176848874598071,0,0,0.40952380952381,0.963525835866261,0,0,0.228758169934641,0,0,0.00334448160535117,0.209677419354839,0,0,0,0,0,0.17981072555205,0.0229508196721311,0,0.20625,0,0,0.954407294832827,0,0,0,0.188925081433225,0.176470588235294,0.0569620253164557,0,0,0.183544303797468,0,0.351791530944625,0.168195718654434,0,0,0,0.213622291021672,0,0,0,0.975077881619938,0,0,0,0.168195718654434,0,0,0.461038961038961,0,0,0.171428571428571,0.171339563862928,0.188118811881188,0.00626959247648903,0,0,0.163076923076923,0,0,0.190184049079755,0,0.175,0,0,0,0.972049689440994,0,0.172955974842767,0,0,0,0.987012987012987,0.79874213836478,0,0.166666666666667,0.180685358255452,0,0.183279742765273,0,0,0,0,0,0,0,0,0,0.229102167182663,0,0,0,0,0,0.162939297124601,0.166153846153846,0,0,0.957575757575758,0.969230769230769,0.796923076923077,0.0193548387096774,0.334394904458599,0.169753086419753,0,0.0410094637223975,0.227848101265823,0.242990654205607,0.167721518987342,0.374613003095975,0,0,0.0412698412698413,0
"6",0,0,0,0.270903010033445,0,1,0.117460317460317,0,0,0,0,0.23961661341853,0.758957654723127,0,0,1,0,0,0.926282051282051,0,0.023489932885906,0,0,0,0,0,0,0,0,0.0292207792207792,0,0.242718446601942,0,0,0.749216300940439,0.264900662251656,0.325949367088608,0,0,0.308917197452229,0,0,0,0,0,0,1,0,1,0,0.129746835443038,0,0.244224422442244,0,0.0977917981072555,0,0.749216300940439,0,0.343234323432343,0,0,1,1,0,0,0,0.0191082802547771,0.767741935483871,0.275641025641026,0,0,0,0.265573770491803,0,0,0,0,0,0,0,0,0,0.21656050955414,0,0,0,0,0,0,0,0,0.0649350649350649,0.770440251572327,0,0,0.149837133550489,0.921824104234528,0,0,0.00323624595469256,0,0.253968253968254,1,0,0,0,0,0,1,0.916666666666667,0.0125,0,0,0.00318471337579618,0,0,0,0,0,0,0,0.278996865203762,0,0,0,0
"7",0,0,0,0.757861635220126,0,0.117460317460317,1,0.205787781350482,0,0,0,0.79375,0.273311897106109,0,0,0.0851735015772871,0,0,0.1875,0.743034055727554,0,0,0.204334365325077,0.780487804878049,0,0,0,0,0,0.759615384615385,0,0.826366559485531,0.0950920245398773,0,0.266666666666667,0.777777777777778,0.736334405144695,0,0,0,0.719512195121951,0.003125,0,0.30188679245283,0,0,0.109375,0,0.110759493670886,0,0.99388379204893,0.673076923076923,0.796774193548387,0,0.560509554140127,0.0360655737704918,0.271875,0,0.689542483660131,0.493710691823899,0,0.104761904761905,0.0977198697068404,0,0,0,0,0.263322884012539,0.780254777070064,0,0.00623052959501558,0.254716981132075,0.504672897196262,0,0,0.789308176100629,0,0,0,0.00316455696202532,0,0,0.814102564102564,0,0,0,0,0,0,0.0093167701863354,0,0.616352201257862,0.261829652996845,0.799352750809062,0.00634920634920635,0.719242902208202,0.160883280757098,0.00311526479750779,0,0.730519480519481,0,0.8,0.10062893081761,0,0,0,0,0,0.126888217522659,0.164670658682635,0,0,0,0,0,0,0.00967741935483871,0,0,0,0,0.34375,0.0212765957446809,0,0,0
"8",0,0,0,0.00335570469798658,0,0,0.205787781350482,1,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0.470967741935484,0,0,1,0.329113924050633,0,0,0,0,0,0.508196721311475,0,0.0101694915254237,0.896551724137931,0,0,0,0,0,0,0,0.412698412698413,0.736334405144695,0,0.664495114006515,0,0,0,0,0,0,0.192429022082019,0.182692307692308,0,0,0.00332225913621262,0.527027027027027,0,0,0,0.0945945945945946,0,0,0,0,0,0,0,0,0,0,0.814696485623003,0.322368421052632,0,0.62987012987013,0,0.341935483870968,0,0,0,0.675496688741722,0,0,0.00655737704918033,0.615635179153095,0,0,0,0,0,0.805732484076433,0,0.0559210526315789,0,0.414965986394558,0.823333333333333,0.0431893687707641,0,0.799363057324841,0,0.180602006688963,0,0.019047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810457516339869,0,0,0,0,0,0.841614906832298,0,0,0
"9",0.00626959247648903,0.951612903225806,0.287581699346405,0,0.177570093457944,0,0,0,1,0.134375,0.957654723127036,0,0,0.788643533123028,0.164670658682635,0,0,0.930921052631579,0,0,0,0.977777777777778,0,0,0,0,0.0737179487179487,0.977491961414791,0,0,0.93125,0,0,0.0996978851963746,0,0,0,0.955414012738854,0.880368098159509,0,0,0,0.96474358974359,0,0,0.94478527607362,0,0.0415335463258786,0,0.952978056426332,0,0,0,0.142414860681115,0,0,0,0.972222222222222,0,0,0.66031746031746,0,0,0.981072555205047,0.975077881619938,0.935275080906149,0,0,0,0.943396226415094,0,0,0,0,0.949367088607595,0,0,0,0.114457831325301,0,0.959119496855346,0,0,0,0.0888888888888889,0,0,0.942176870748299,0.971875,0,0.961165048543689,0,0,0,0,0,0,0,0,0,0.954407294832827,0,0,0,0.00617283950617284,0,0.971608832807571,0.966360856269113,0,0,0.120845921450151,0.128930817610063,0,0,0,0.984802431610942,0,0,0.968454258675079,0.944272445820433,0.962025316455696,0,0,0.00315457413249211,0.468553459119497,0
"10",0,0.172077922077922,0,0,0.962382445141066,0,0,0,0.134375,1,0.200647249190939,0,0,0.349673202614379,0.975384615384615,0,0,0.19016393442623,0,0,0,0.157556270096463,0,0,0,0,0,0.178683385579937,0.0194174757281553,0,0.198757763975155,0,0,0.963636363636364,0,0.00327868852459016,0,0.192429022082019,0.188679245283019,0.0379746835443038,0,0,0.187702265372168,0,0.369426751592357,0.190184049079755,0,0,0,0.212307692307692,0,0,0,0.990595611285266,0,0,0,0.18348623853211,0,0,0.485530546623794,0,0,0.185185185185185,0.178913738019169,0.194174757281553,0.00319488817891374,0,0.00311526479750779,0.177914110429448,0,0,0.20125786163522,0,0.195512820512821,0,0,0,0.996951219512195,0,0.180952380952381,0,0,0,0.970873786407767,0.827586206896552,0,0.187919463087248,0.180124223602484,0,0.17515923566879,0,0,0,0,0,0,0,0,0,0.172839506172839,0,0,0,0,0,0.164596273291925,0.172307692307692,0,0,0.923780487804878,1,0.81875,0.0159235668789809,0.332258064516129,0.161094224924012,0,0.0390879478827362,0.164556962025316,0.186119873817035,0.168253968253968,0.363354037267081,0,0,0.0358306188925081,0
