"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226"
"1",1,0,0.974763406940063,1,1,0,0.981012658227848,0.87962962962963,1,0,1,0,0.945337620578778,1,1,0.00946372239747634,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.972727272727273,0.93730407523511,0,0.0156739811912226,1,0,0,0,0.984076433121019,0.00340136054421769,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.924092409240924,0,0,0,0,0.33003300330033,0,0,0,0,0,0.0507936507936508,1,0,0,0,0,0,0,0,0.931372549019608,0.94006309148265,0,0,0.0181268882175227,1,0,0,1,0.990769230769231,0,0,0,1,0,0,1,0,0.205128205128205,0.971608832807571,0,0,1,0,0,0.021671826625387,0,1,1,0,0,0,1,0,0,1,0,0.864353312302839,0,0,0.949206349206349,0,0,0.371335504885993,0,1,0,0,0,0,1,0,0,0,0,0.837423312883436,0,0,0,0.894736842105263,1,0.81875,0,0,0,0,0,0.432343234323432,0.967948717948718,0,0,0,0,0.935483870967742,1,1,0.965408805031447,0,0,0.935897435897436,0.00955414012738853,0,0,0,0,1,0,0,0,1,0,1,0.970873786407767,0,0,0,0,0,0,0.875776397515528,0,0,0,0,0,0,0.710097719869707,0.681818181818182,0,0.95364238410596,0.889589905362776,0,0.965079365079365,0,0,1,0.996587030716723,0.936102236421725,1,1,0,0.975077881619938,0,0,1,0,0,0,0.0163934426229508,1,0,0,1,0,0.920792079207921,0,1,0,0,1,0,0,0
"2",0,1,0.0201342281879195,0,0,0,0.016025641025641,0.123778501628664,0,0,0,0,0.0451388888888889,0,0,0.99344262295082,0,1,0,0,1,1,0,1,1,1,0.97029702970297,0.965079365079365,1,0.97,0.967845659163987,1,0.962382445141066,0,0.961038961038961,1,0.962264150943396,0.964052287581699,0.0253968253968254,0.0561056105610561,0.956081081081081,0.98671096345515,0,0.963815789473684,1,1,0.0129032258064516,0.996491228070175,0.964052287581699,0,0.963815789473684,1,0,1,1,0.025974025974026,0.961038961038961,1,0,0.963302752293578,0.961038961038961,0,0,0.0728476821192053,0,0.962585034013605,1,0.961538461538462,0.637931034482759,1,0.963934426229508,0,0.959731543624161,0.969594594594595,0.954397394136808,0,0.0328947368421053,0.0288461538461538,0.0328947368421053,1,0.0352564102564103,0.956666666666667,1,0.0625,0.0482315112540193,0,1,0.990506329113924,0,0.963815789473684,1,0,0.00955414012738853,0.0296052631578947,0.960264900662252,0,0,1,0.0336700336700337,0,1,0.026578073089701,0.0264026402640264,0,0.970684039087948,0,0.962199312714777,0.977049180327869,0.977987421383648,0.967320261437909,0,0,1,0.96,0,0,0.967320261437909,0.964285714285714,0,0.0372881355932203,0.150819672131148,1,0.963696369636964,0.0443037974683544,0.0193548387096774,0.960526315789474,0.62751677852349,0,0,0.966887417218543,0.027027027027027,0.957236842105263,0.974025974025974,0,0.955128205128205,1,0.960912052117264,0,0.158730158730159,0,1,0.967532467532468,0.121794871794872,0,0.177049180327869,0.0319488817891374,0.0299003322259136,0.0328947368421053,0.961038961038961,1,0.560137457044674,0.0258899676375405,1,0.0404984423676012,0,0,0.0686274509803922,0,0,0.0294117647058824,0.960655737704918,0.967845659163987,0.0538720538720539,0.993464052287582,0,0.964169381107492,1,1,0,0.962068965517241,0.0358306188925081,0.952861952861953,0,1,0,0.0264026402640264,0.963934426229508,0.963934426229508,0.951890034364261,1,0.0364238410596026,0.968253968253968,0.133333333333333,0,0.961661341853035,0,1,1,0.025974025974026,0.289036544850498,0.325657894736842,0,0.0437710437710438,0.116129032258065,0.960912052117264,0.0297029702970297,1,0,0,0.00338983050847458,0.0605095541401274,0,0,1,0.0255591054313099,0.968253968253968,0.969899665551839,0,0.961661341853035,0,0,0.0327868852459016,0,1,0.959731543624161,0,0,0.0759075907590759,0.00320512820512821,0,1,0.961038961038961,0,1,1,0.958762886597938
"3",0.974763406940063,0.0201342281879195,1,0.977987421383648,0.984375,0,0.990353697749196,0.9,0.978527607361963,0,0.980582524271845,0,0.964630225080386,0.97427652733119,0.974522292993631,0.0283018867924528,0.979933110367893,0.0223642172523962,0.975384615384615,0,0.0197368421052632,0.0164473684210526,0,0.0246913580246914,0.020066889632107,0.0130293159609121,0,0,0.0191693290734824,0,0,0.0220125786163522,0,0.974842767295597,0,0.0184615384615385,0,0,1,0.955128205128205,0,0.0289389067524116,0.977917981072555,0,0.0189274447949527,0.0233333333333333,0.990566037735849,0.0238907849829352,0,0,0,0.0224358974358974,0.977564102564103,0.0192926045016077,0.0254777070063694,0.0164473684210526,0,0.025974025974026,0.98125,0,0,0.97741935483871,0,0.950980392156863,0,0,0.0186915887850467,0,0.378289473684211,0.0133333333333333,0,0,0,0,0.0634920634920635,0.976401179941003,0.012779552715655,0.0130293159609121,0.0193548387096774,0.02,0.0253968253968254,0,0.0223642172523962,0.951298701298701,0.971337579617834,0,0.0262295081967213,0.0342679127725857,0.99025974025974,0,0.0130293159609121,0.978125,0.990654205607477,0.0161290322580645,0,0,0.977564102564103,0.0225806451612903,0.012987012987013,0.976973684210526,0.0221518987341772,0.224755700325733,0.996784565916399,0,0,0.97741935483871,0,0,0.043613707165109,0,0.976973684210526,0.973856209150327,0.022508038585209,0,0,0.977272727272727,0,0,0.979310344827586,0.0202702702702703,0.887096774193548,0.0213414634146341,0,0.96875,0.0126582278481013,0,0.402684563758389,0,0.974193548387097,0,0.0133333333333333,0,0,0.977987421383648,0,0.0263157894736842,0,0,0.856687898089172,0,0.0225806451612903,0,0.903846153846154,0.983498349834984,0.852090032154341,0.0156739811912226,0.0163934426229508,0.0134680134680135,0,0.0165562913907285,0.468013468013468,0.987261146496815,0.0132890365448505,0.0245398773006135,0,0,0.954248366013072,0.975535168195719,0.981132075471698,0.990536277602524,0,0,0.948553054662379,0.0197368421052632,0,0,0.0254777070063694,0.0245398773006135,0.973597359735974,0,0.0229508196721311,0,0.977848101265823,0.0198675496688742,0.977272727272727,0.993399339933993,0,0,0,0.0228758169934641,0.0165562913907285,0,0.901234567901235,0,0,0,0.0215384615384615,0.0195439739413681,0.0129032258064516,0.746753246753247,0.724919093851133,0,0.976666666666667,0.911392405063291,0,0.99009900990099,0.0161812297734628,0,0.984076433121019,0.973509933774834,0.956112852664577,0.984076433121019,0.980952380952381,0.018348623853211,0.99685534591195,0,0,0.975077881619938,0,0,0,0.0287539936102236,0.980707395498392,0.0224358974358974,0,0.980830670926518,0,0.946666666666667,0,0.980891719745223,0.021671826625387,0,0.975155279503106,0.0192307692307692,0.0189274447949527,0
"4",1,0,0.977987421383648,1,1,0,0.981762917933131,0.88821752265861,1,0,1,0,0.94888178913738,1,1,0.0152439024390244,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.973293768545994,0.938650306748466,0,0.0245398773006135,1,0,0,0,0.984756097560976,0.00325732899022801,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.927672955974843,0,0,0,0,0.300653594771242,0,0,0,0,0,0.0487804878048781,1,0,0,0,0,0,0,0,0.934169278996865,0.94578313253012,0,0,0.018018018018018,1,0,0,1,0.991071428571429,0,0,0,1,0,0,1,0,0.197530864197531,0.97239263803681,0,0,1,0,0,0.021021021021021,0,1,1,0,0,0,1,0,0,1,0,0.869158878504673,0,0,0.947852760736196,0,0,0.35126582278481,0,1,0,0,0,0,1,0,0,0,0,0.846607669616519,0,0,0,0.899390243902439,1,0.816770186335404,0,0,0,0,0,0.407766990291262,0.969604863221885,0,0,0,0,0.937888198757764,1,1,0.968944099378882,0,0,0.94375,0.00909090909090909,0,0,0,0,1,0,0,0,1,0,1,0.974683544303797,0,0,0,0,0,0,0.881656804733728,0,0,0,0,0,0,0.721875,0.691823899371069,0,0.95583596214511,0.891891891891892,0,0.96594427244582,0,0,1,0.996732026143791,0.934328358208955,1,1,0,0.97239263803681,0,0,1,0,0,0,0.00623052959501558,1,0,0,1,0,0.921824104234528,0,1,0,0,1,0,0,0
"5",1,0,0.984375,1,1,0,0.9875,0.898773006134969,1,0,1,0,0.955414012738854,1,1,0.0123839009287926,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.981762917933131,0.953271028037383,0,0.0152905198776758,1,0,0,0,0.990566037735849,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.940625,0,0,0,0,0.340983606557377,0,0,0,0,0,0.0434782608695652,1,0,0,0,0,0,0,0,0.945686900958466,0.957957957957958,0,0,0.0120845921450151,1,0,0,1,0.993975903614458,0,0,0,1,0,0,1,0,0.195583596214511,0.984472049689441,0,0,1,0,0,0.0182370820668693,0,1,1,0,0,0,1,0,0,1,0,0.865625,0,0,0.96319018404908,0,0,0.371069182389937,0,1,0,0,0,0,1,0,0,0,0,0.853731343283582,0,0,0,0.889230769230769,1,0.830769230769231,0,0,0,0,0,0.440129449838188,0.984375,0,0,0,0,0.950617283950617,1,1,0.984520123839009,0,0,0.950617283950617,0.0062111801242236,0,0,0,0,1,0,0,0,1,0,1,0.97411003236246,0,0,0,0,0,0,0.885630498533724,0,0,0,0,0,0,0.726708074534162,0.703821656050955,0,0.971061093247588,0.898148148148148,0,0.978056426332288,0,0,1,1,0.95398773006135,1,1,0,0.984615384615385,0,0,1,0,0,0,0.0125,1,0,0,1,0,0.9375,0,1,0,0,1,0,0,0
"6",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0164473684210526,0.0251572327044025,0,0.0161290322580645,0.0157232704402516,0,0.0213414634146341,0,0.0247678018575851,0,0.021671826625387,0.0195439739413681,0,0,0.0228758169934641,0,0,0.0197368421052632,0,0,0,0,0.022508038585209,1,0.022508038585209,0,0,0,0,0.99025974025974,0.0188679245283019,0,0,0.0180722891566265,0.0220125786163522,0,1,0,1,0.0199335548172757,0,0.0188087774294671,0,0,0.0226537216828479,1,0.0233333333333333,0.0167785234899329,0,0,0.98705501618123,0.986885245901639,0.983660130718954,0,0.974358974358974,0.0228013029315961,0,0,0,1,0,0,0,0.0223642172523962,0,0,0,0.984025559105431,0.0199335548172757,1,0,0,0.981012658227848,0,0,0.771523178807947,0,1,0.0227272727272727,0,0.0201342281879195,0.0131147540983607,0,0.022508038585209,0,0,0,0.0264900662251656,1,0,0.0220820189274448,0.0256410256410256,0,0.976666666666667,0,0,0.0223642172523962,0,0.993548387096774,0.0197368421052632,0,1,0,0.0194174757281553,0.983443708609272,0.0254777070063694,0.0129449838187702,0,0.0255591054313099,0,0.0223642172523962,1,0,1,0,0.0192307692307692,0,0,0,0.981012658227848,0.97682119205298,0.983660130718954,0.0192926045016077,0,0,0,0,0.978328173374613,1,1,0,0,0,0,0.0226537216828479,0.0128617363344051,0,0,1,0.0221518987341772,0,0,0,0.026578073089701,0.977635782747604,0.0262295081967213,0,0,0,0,0.0168350168350168,0.0191082802547771,0.026578073089701,0,0.980830670926518,0.0185758513931889,0,1,0.0257234726688103,1,0,0,0.987341772151899,0,0,1,0,0,0.0228013029315961,0,0,1,0,0,0,0,0,0,0,0.01875,0.0132450331125828,0,0.0248447204968944,1,1,0.97411003236246,0,0,0.0225806451612903,0,1,0,0.996753246753247,0,0,0.0245398773006135,0,0,0,0.0205479452054795
"7",0.981012658227848,0.016025641025641,0.990353697749196,0.981762917933131,0.9875,0,1,0.888888888888889,0.978787878787879,0,0.981424148606811,0,0.954098360655738,0.977707006369427,0.977848101265823,0.0247678018575851,0.984076433121019,0.0185185185185185,0.978527607361963,0,0.0194174757281553,0.0160771704180064,0,0.0211480362537764,0.019672131147541,0.00961538461538462,0,0,0.0126984126984127,0,0,0.0152905198776758,0,0.981072555205047,0,0.0216049382716049,0,0,0.987915407854985,0.953125,0,0.0217391304347826,0.978527607361963,0,0.0153374233128834,0.019047619047619,1,0.0231788079470199,0,0,0,0.0186915887850467,0.98125,0.0189274447949527,0.0217391304347826,0.0162337662337662,0,0.0212121212121212,0.981424148606811,0,0,0.978125,0,0.943037974683544,0,0,0.0184615384615385,0,0.323717948717949,0.0161812297734628,0,0,0,0,0.0644171779141104,0.982195845697329,0.0124223602484472,0.012779552715655,0.0189274447949527,0.0159744408945687,0.021875,0,0.0152905198776758,0.943217665615142,0.959375,0,0.0188679245283019,0.0303951367781155,0.99025974025974,0,0.012987012987013,0.981366459627329,0.978395061728395,0.0155763239875389,0,0,0.98125,0.0189274447949527,0.0124223602484472,0.980582524271845,0.019047619047619,0.182108626198083,0.987616099071207,0,0,0.980582524271845,0,0,0.0424242424242424,0,0.984177215189873,0.977707006369427,0.0223642172523962,0,0,0.984177215189873,0,0,0.977272727272727,0.019047619047619,0.875399361022364,0.0176991150442478,0,0.96,0.0125391849529781,0,0.359477124183007,0,0.977917981072555,0,0.00980392156862745,0,0,0.981707317073171,0,0.0231023102310231,0,0,0.856269113149847,0,0.0218068535825545,0,0.89622641509434,0.987138263665595,0.826498422712934,0.0123839009287926,0.0127388535031847,0.0186915887850467,0,0.00645161290322581,0.432258064516129,0.977707006369427,0.00641025641025641,0.0181818181818182,0,0,0.94551282051282,0.97910447761194,0.981538461538462,0.98125,0,0,0.950155763239875,0.0250783699059561,0,0,0.0216049382716049,0.0215384615384615,0.977564102564103,0,0.0192307692307692,0,0.981424148606811,0.0126984126984127,0.977777777777778,0.984076433121019,0,0,0,0.0155763239875389,0.0160771704180064,0,0.885885885885886,0,0,0,0.0188087774294671,0.0161290322580645,0.00619195046439629,0.733333333333333,0.70440251572327,0,0.964630225080386,0.90625,0,0.980891719745223,0.0125391849529781,0,0.977917981072555,0.977564102564103,0.94392523364486,0.987577639751553,0.984802431610942,0.0157232704402516,0.990683229813665,0,0,0.978395061728395,0,0,0,0.0253968253968254,0.978056426332288,0.0156739811912226,0,0.981424148606811,0,0.938906752411576,0,0.98125,0.0182926829268293,0,0.978723404255319,0.0155763239875389,0.0157232704402516,0
"8",0.87962962962963,0.123778501628664,0.9,0.88821752265861,0.898773006134969,0,0.888888888888889,1,0.880239520958084,0,0.883076923076923,0,0.938080495356037,0.869969040247678,0.865443425076453,0.130841121495327,0.877358490566038,0.116207951070336,0.883928571428571,0,0.109034267912773,0.118210862619808,0,0.123123123123123,0.114285714285714,0.115625,0.0773993808049536,0.0712166172106825,0.104938271604938,0.0895061728395062,0.0802469135802469,0.11377245508982,0.0718562874251497,0.883233532934132,0.0746268656716418,0.115853658536585,0.0810810810810811,0.0747663551401869,0.912650602409639,0.942073170731707,0.0788643533123028,0.131498470948012,0.883928571428571,0.075,0.119631901840491,0.118012422360248,0.893617021276596,0.12012987012987,0.0727272727272727,0,0.0604229607250755,0.122324159021407,0.894409937888199,0.123076923076923,0.121495327102804,0.0219435736677116,0.0787878787878788,0.123839009287926,0.87888198757764,0.0766961651917404,0.0773993808049536,0.878048780487805,0,0.950920245398773,0,0.0616883116883117,0.098159509202454,0.0662650602409639,0.483974358974359,0.115015974440895,0.0823170731707317,0,0.0923566878980892,0.0641025641025641,0.16358024691358,0.887608069164265,0.0278637770897833,0.0248447204968944,0.0305810397553517,0.121495327102804,0.0369230769230769,0.084375,0.122324159021407,0.946540880503145,0.920353982300885,0,0.145110410094637,0.13946587537092,0.884375,0.0787878787878788,0.13015873015873,0.881458966565349,0.914201183431953,0.0305810397553517,0.073482428115016,0,0.884848484848485,0.109756097560976,0.0254777070063694,0.894409937888199,0.123076923076923,0.210691823899371,0.914373088685015,0,0.0802469135802469,0.884375,0.0749185667752443,0.0559006211180124,0.136363636363636,0.0619195046439628,0.891640866873065,0.862179487179487,0.116923076923077,0.0754716981132075,0,0.894736842105263,0.0797546012269939,0.0861538461538462,0.87741935483871,0.0392156862745098,0.99685534591195,0.123893805309735,0.0838509316770186,0.927272727272727,0.0185758513931889,0.0752351097178683,0.525806451612903,0,0.87962962962963,0.0853658536585366,0.0255591054313099,0.0783699059561129,0.0875,0.877245508982036,0.0792682926829268,0.108974358974359,0.0778443113772455,0,0.972644376899696,0,0.121580547112462,0.0940438871473354,0.990936555891239,0.897832817337461,0.958990536277603,0.0274390243902439,0.0278637770897833,0.0311526479750779,0.0823170731707317,0.121495327102804,0.575471698113208,0.909657320872274,0.125,0.0389221556886228,0,0,0.928571428571429,0.875,0.88622754491018,0.912225705329154,0.08,0.0978593272171254,0.9375,0.134969325153374,0,0.0830769230769231,0.12,0.120481927710843,0.875,0.0769230769230769,0.0347003154574132,0.0723270440251572,0.894578313253012,0.123839009287926,0.891975308641975,0.906752411575563,0.0788643533123028,0.0930930930930931,0.0828025477707006,0.123456790123457,0.028391167192429,0.0759878419452888,1,0,0.0685358255451713,0,0.125,0.118012422360248,0.0215384615384615,0.83641975308642,0.824074074074074,0,0.916149068322981,0.993957703927492,0.0721003134796238,0.919254658385093,0.111801242236025,0,0.889570552147239,0.88961038961039,0.937125748502994,0.889230769230769,0.883233532934132,0.126153846153846,0.907975460122699,0.0703363914373089,0.0660377358490566,0.888888888888889,0.088145896656535,0,0,0.0401234567901235,0.898461538461538,0.120253164556962,0.0828220858895705,0.885093167701863,0,0.938906752411576,0.00303951367781155,0.876506024096386,0.12094395280236,0.0750750750750751,0.876876876876877,0.121951219512195,0.107033639143731,0.0921052631578947
"9",1,0,0.978527607361963,1,1,0,0.978787878787879,0.880239520958084,1,0,1,0,0.95398773006135,1,1,0.0153374233128834,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.97289156626506,0.945288753799392,0,0.0211480362537764,1,0,0,0,0.982089552238806,0.00317460317460317,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.932307692307692,0,0,0,0,0.349206349206349,0,0,0,0,0,0.0516717325227964,1,0,0,0,0,0,0,0,0.941358024691358,0.955752212389381,0,0,0.0176470588235294,1,0,0,1,0.994047619047619,0,0,0,1,0,0,1,0,0.203647416413374,0.97239263803681,0,0,1,0,0,0.0207715133531157,0,1,1,0,0,0,1,0,0,1,0,0.873846153846154,0,0,0.958083832335329,0,0,0.386792452830189,0,1,0,0,0,0,1,0,0,0,0,0.848837209302326,0,0,0,0.900302114803625,1,0.826086956521739,0,0,0,0,0,0.442307692307692,0.972560975609756,0,0,0,0,0.947692307692308,1,1,0.968847352024922,0,0,0.954268292682927,0.00903614457831325,0,0,0,0,1,0,0,0,1,0,1,0.974522292993631,0,0,0,0,0,0,0.882352941176471,0,0,0,0,0,0,0.735384615384615,0.701863354037267,0,0.962025316455696,0.892441860465116,0,0.966767371601209,0,0,1,0.996845425867508,0.945619335347432,1,1,0,0.973053892215569,0,0,1,0,0,0,0.0151515151515152,1,0,0,1,0,0.936908517350158,0,1,0,0,1,0,0,0
"10",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0214723926380368,0.0240963855421687,0,0.0214067278287462,0.0181268882175227,0,0.0267062314540059,0,0.0267857142857143,0,0.0321637426900585,0.025,0,0,0.0311526479750779,0,0,0.0279503105590062,0,0,0,0,0.0272727272727273,1,0.024024024024024,0,0,0,0,0.98125,0.026865671641791,0,0,0.0288184438040346,0.0275229357798165,0,1,0,1,0.0287539936102236,0,0.0298507462686567,0,0,0.0278637770897833,1,0.0288461538461538,0.0311526479750779,0,0,0.972644376899696,0.98159509202454,0.97583081570997,0,0.969788519637462,0.0277777777777778,0,0,0,1,0,0,0,0.0271084337349398,0,0,0,0.975232198142415,0.0289389067524116,1,0,0,0.981366459627329,0,0,0.773291925465838,0,1,0.0246913580246914,0,0.0254777070063694,0.0152905198776758,0,0.0249221183800623,0,0,0,0.0282131661442006,1,0,0.021021021021021,0.0308641975308642,0,0.974522292993631,0,0,0.0275229357798165,0,0.987767584097859,0.0276073619631902,0,1,0,0.024024024024024,0.980707395498392,0.0306748466257669,0.0215384615384615,0,0.0335365853658537,0,0.029940119760479,1,0,1,0,0.0222929936305732,0,0,0,0.982195845697329,0.98125,0.975077881619938,0.0308641975308642,0,0,0,0,0.967065868263473,1,1,0,0,0,0,0.0307692307692308,0.0213414634146341,0,0,1,0.0238095238095238,0,0,0,0.0283018867924528,0.968847352024922,0.0344827586206897,0,0,0,0,0.0251572327044025,0.0238805970149254,0.0344827586206897,0,0.978461538461538,0.0207715133531157,0,1,0.0305810397553517,1,0,0,0.978978978978979,0,0,1,0,0,0.0303951367781155,0,0,1,0,0,0,0,0,0,0,0.0271084337349398,0.025,0,0.0238095238095238,1,1,0.969788519637462,0,0,0.0272727272727273,0,1,0,0.996923076923077,0,0,0.0267857142857143,0,0,0,0.0292207792207792
