"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"1",1,0,0,0,0.392405063291139,1,1,0,0,0,0.996732026143791,0,0.996699669966997,0,0,0.980582524271845,0.388535031847134,0.708196721311475,0,1,0.413907284768212,1,0.355769230769231,0.270096463022508,1,1,1,0.00651465798045603,1,0.00325732899022801,1,1,1,0.385350318471338,0,0.66875,0,0.402684563758389,0,1,0,0.648026315789474,0,0,1,0.996710526315789,0,1,1,0,0.397435897435897,0.962616822429907,1,1,0.306666666666667,0,0,0.675324675324675,0,1,0.424148606811146,1,0,0.403785488958991,0,0.330188679245283,0,0,0.362745098039216,1,1,1,0.336601307189543,1,0,0.356466876971609,1,0.342948717948718
"2",0,1,1,1,0.604938271604938,0,0,1,1,1,0.00634920634920635,1,0.00327868852459016,1,1,0.022508038585209,0.613707165109034,0.294117647058824,1,0,0.588815789473684,0,0.656957928802589,0.726984126984127,0,0,0,0.990131578947368,0,0.990228013029316,0,0,0,0.632258064516129,1,0.341692789968652,1,0.599337748344371,1,0,1,0.370607028753994,1,1,0,0.00320512820512821,1,0,0,1,0.626582278481013,0.043613707165109,0,0,0.693811074918567,1,1,0.356913183279743,1,0,0.59748427672956,0,1,0.599358974358974,1,0.670807453416149,1,1,0.644654088050314,0,0,0,0.653846153846154,0,1,0.62962962962963,0,0.653846153846154
"3",0,1,1,1,0.622222222222222,0,0,1,1,1,0.00657894736842105,1,0.00340136054421769,1,1,0.0301003344481605,0.642633228840125,0.299342105263158,1,0,0.602006688963211,0,0.677631578947368,0.731629392971246,0,0,0,0.996666666666667,0,0.990196078431373,0,0,0,0.644951140065147,1,0.35,1,0.613013698630137,1,0,1,0.375394321766562,1,1,0,0.00333333333333333,1,0,0,1,0.647058823529412,0.0501567398119122,0,0,0.718120805369127,1,1,0.353333333333333,1,0,0.589341692789969,0,1,0.615384615384615,1,0.691082802547771,1,1,0.669902912621359,0,0,0,0.684210526315789,0,1,0.661341853035144,0,0.674121405750799
"4",0,1,1,1,0.6,0,0,1,1,1,0.00655737704918033,1,0.00334448160535117,1,1,0.0166112956810631,0.605015673981191,0.276315789473684,1,0,0.575342465753425,0,0.634551495016611,0.698412698412698,0,0,0,0.99009900990099,0,0.99025974025974,0,0,0,0.609271523178808,1,0.327102803738318,1,0.574324324324324,1,0,1,0.35048231511254,1,1,0,0.00326797385620915,1,0,0,1,0.601973684210526,0.0347003154574132,0,0,0.66,1,1,0.333333333333333,1,0,0.563694267515924,0,1,0.593167701863354,1,0.636942675159236,1,1,0.637820512820513,0,0,0,0.655518394648829,0,1,0.630573248407643,0,0.642857142857143
"5",0.392405063291139,0.604938271604938,0.622222222222222,0.6,1,0.391044776119403,0.403726708074534,0.657142857142857,0.61280487804878,0.60126582278481,0.433846153846154,0.61993769470405,0.417721518987342,0.617021276595745,0.627627627627628,0.453703703703704,0.987767584097859,0.734756097560976,0.606153846153846,0.396284829721362,0.993610223642173,0.391167192429022,0.97741935483871,0.90273556231003,0.365930599369085,0.409230769230769,0.394495412844037,0.608150470219436,0.376947040498442,0.663492063492063,0.380368098159509,0.385579937304075,0.380239520958084,0.980891719745223,0.630769230769231,0.735735735735736,0.686567164179104,0.993650793650794,0.644376899696049,0.378787878787879,0.625386996904025,0.757763975155279,0.619631901840491,0.628834355828221,0.365325077399381,0.401869158878505,0.581168831168831,0.39873417721519,0.409230769230769,0.623853211009174,0.990853658536585,0.423880597014925,0.378548895899054,0.395770392749245,0.925233644859813,0.641791044776119,0.633333333333333,0.739263803680982,0.621019108280255,0.374213836477987,0.97289156626506,0.38390092879257,0.633116883116883,0.996875,0.640949554896142,0.924242424242424,0.648484848484848,0.610119047619048,0.996923076923077,0.408945686900958,0.398176291793313,0.374172185430464,0.962382445141066,0.355140186915888,0.632911392405063,0.98813056379822,0.392638036809816,0.981366459627329
"6",1,0,0,0,0.391044776119403,1,1,0,0,0,0.996894409937888,0,1,0,0,0.974921630094044,0.383928571428571,0.705882352941177,0,1,0.41692789968652,1,0.361904761904762,0.290519877675841,1,1,1,0.00958466453674121,1,0.00928792569659443,1,1,1,0.38006230529595,0,0.651785714285714,0,0.407766990291262,0,1,0,0.608562691131499,0,0,1,1,0,1,1,0,0.380664652567976,0.954954954954955,1,1,0.317901234567901,0,0,0.634674922600619,0,1,0.421052631578947,1,0,0.404255319148936,0,0.344117647058824,0,0,0.369230769230769,1,1,1,0.334346504559271,1,0,0.374269005847953,1,0.360606060606061
"7",1,0,0,0,0.403726708074534,1,1,0,0,0,0.996784565916399,0,0.996784565916399,0,0,0.980830670926518,0.394409937888199,0.728155339805825,0,1,0.42483660130719,1,0.367088607594937,0.289230769230769,1,1,1,0.00961538461538462,1,0.00632911392405063,1,1,1,0.391025641025641,0,0.679012345679012,0,0.428571428571429,0,1,0,0.647798742138365,0,0,1,0.996865203761755,0,1,1,0,0.392523364485981,0.963525835866261,1,1,0.320388349514563,0,0,0.666666666666667,0,1,0.437308868501529,1,0,0.413897280966767,0,0.353846153846154,0,0,0.382445141065831,1,1,1,0.34375,1,0,0.387692307692308,1,0.366771159874608
"8",0,1,1,1,0.657142857142857,0,0,1,1,1,0.00666666666666667,1,0.00334448160535117,1,1,0.0294117647058824,0.665605095541401,0.325806451612903,1,0,0.622895622895623,0,0.691558441558442,0.775244299674267,0,0,0,0.996688741721854,0,0.990291262135922,0,0,0,0.673202614379085,1,0.363636363636364,1,0.641891891891892,1,0,1,0.403973509933775,1,1,0,0.00327868852459016,1,0,0,1,0.674267100977199,0.0430769230769231,0,0,0.734426229508197,1,1,0.373376623376623,1,0,0.617834394904459,0,1,0.652866242038217,1,0.725239616613419,1,1,0.682692307692308,0,0,0,0.725165562913907,0,1,0.693037974683544,0,0.714285714285714
"9",0,1,1,1,0.61280487804878,0,0,1,1,1,0.00632911392405063,1,0.003125,1,1,0.0252365930599369,0.628398791540785,0.310344827586207,1,0,0.599378881987578,0,0.662538699690402,0.727554179566563,0,0,0,0.990384615384615,0,0.990683229813665,0,0,0,0.63302752293578,1,0.349253731343284,1,0.59672131147541,1,0,1,0.39297124600639,1,1,0,0.00318471337579618,1,0,0,1,0.630434782608696,0.048048048048048,0,0,0.706070287539936,1,1,0.371069182389937,1,0,0.576119402985075,0,1,0.608024691358025,1,0.68141592920354,1,1,0.647058823529412,0,0,0,0.678125,0,1,0.639393939393939,0,0.65625
"10",0,1,1,1,0.60126582278481,0,0,1,1,1,0.00319488817891374,1,0.00324675324675325,1,1,0.0293159609120521,0.614197530864197,0.3,1,0,0.597402597402597,0,0.648026315789474,0.70926517571885,0,0,0,0.990322580645161,0,0.993589743589744,0,0,0,0.60952380952381,1,0.354037267080745,1,0.593333333333333,1,0,1,0.375796178343949,1,1,0,0.00328947368421053,1,0,0,1,0.613207547169811,0.0519877675840979,0,0,0.680645161290323,1,1,0.355048859934853,1,0,0.576323987538941,0,1,0.593167701863354,1,0.645962732919255,1,1,0.627388535031847,0,0,0,0.64951768488746,0,1,0.631901840490798,0,0.636655948553055
