"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"1",1,0,0,0,0.00632911392405063,0.0529595015576324,0.208333333333333,0,0,0,0.15359477124183,0,0.224422442244224,0,0,0.268608414239482,0.00955414012738853,0.167213114754098,0,0.960526315789474,0.0562913907284768,0.0505050505050505,0,0,0.079734219269103,0.0806451612903226,0.0319488817891374,0,0.0602006688963211,0,0.191693290734824,0.0524590163934426,0.651898734177215,0.0382165605095541,0,0.053125,0,0.0838926174496644,0,0.0527950310559006,0,0.0361842105263158,0,0,0.0700636942675159,0.398026315789474,0,0.914191419141914,0.848684210526316,0,0,0.688473520249221,0.0166112956810631,0.0664556962025316,0,0,0,0.11038961038961,0,0.0132450331125828,0,0.0324675324675325,0,0,0,0.00314465408805031,0,0,0,0.453924914675768,0.803858520900322,0.0170648464163823,0,0.927631578947368,0,0.00315457413249211,0.980769230769231,0
"2",0,1,0,0.07,0,0,0,0,1,0.20265780730897,0,0,0,0.0474683544303797,0.0674846625766871,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445859872611465,0,0,0,0,0,0.0355987055016181,0,0,0.00316455696202532,0,0,0.145631067961165,0,0,0.0222929936305732,0,0,0,0,0,0.0599369085173502,0.0498442367601246,0,0.932475884244373,0,0,0,0.956666666666667,0,0,0,0,0.309597523219814,0,0,0,0,0,0,0,0,0,0
"3",0,0,1,0.394736842105263,0,0,0,0.651162790697674,0,0,0,0.865131578947368,0,0.0980392156862745,0.39937106918239,0,0,0,0,0,0,0,0,0.121405750798722,0,0,0,0.103333333333333,0,0.248366013071895,0,0,0,0.00977198697068404,0.831210191082803,0,0.206451612903226,0.0136986301369863,0.194888178913738,0,0.555921052631579,0,0.230263157894737,0.453376205787781,0,0,0.334437086092715,0,0,0.348101265822785,0,0,0,0,0.177852348993289,0.653125,0.0453074433656958,0,0,0,0,0,0.00341296928327645,0.00320512820512821,0.332298136645963,0.159235668789809,0.19016393442623,0,0,0,0,0,0.0164473684210526,0,0.411184210526316,0,0,0.0159744408945687
"4",0,0.07,0.394736842105263,1,0,0,0,0.0522875816993464,0.0771704180064309,0,0,0.269230769230769,0,0.578947368421053,0.971153846153846,0,0,0,0.0822368421052632,0,0,0,0,0.00952380952380952,0,0,0,0.0066006600660066,0,0.0844155844155844,0,0,0,0.0033112582781457,0.686335403726708,0,0.016025641025641,0,0.0222929936305732,0,0.467320261437909,0,0.0564784053156146,0.355987055016181,0,0,1,0,0,0.577922077922078,0,0,0,0,0.0166666666666667,0.826923076923077,0.527508090614887,0,0.19205298013245,0,0,0,0.220338983050847,0.0031055900621118,0.035031847133758,0.0127388535031847,0.0132450331125828,0,0,0,0,0,0.00334448160535117,0,0.162790697674419,0,0,0
"5",0.00632911392405063,0,0,0,1,0,0.062111801242236,0,0,0,0.0553846153846154,0,0.0569620253164557,0,0,0.0679012345679012,0.972477064220184,0.0731707317073171,0,0.00619195046439629,0.4185303514377,0,1,0.112462006079027,0,0.00923076923076923,0,0.460815047021944,0,0.00634920634920635,0.0521472392638037,0,0.0029940119760479,0.656050955414013,0,0.345345345345345,0.0119402985074627,0.39047619047619,0.0364741641337386,0,0,0.667701863354037,0,0,0,0.0467289719626168,0,0.00316455696202532,0,0,0.75609756097561,0.0238805970149254,0,0,0.105919003115265,0,0,0.153374233128834,0,0,0.97289156626506,0,0,0.840625,0,0.118181818181818,0.0242424242424242,0,0.987692307692308,0.0479233226837061,0.0060790273556231,0,0.952978056426332,0,0,0.997032640949555,0.00920245398773006,0.953416149068323
"6",0.0529595015576324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0.99685534591195,0,0,1,0.528358208955224,0.513595166163142,0,0.996815286624204,0,0,0.841121495327103,0.385964912280702,0,0,0,0,0,0,0.997041420118343,0,0,0,0,1,0,0,0.0599369085173502,0.24,0,0,0.003003003003003,0.380191693290735,1,0,0,0,0,0,0.401840490797546,0,0.496875,0,0,0,0,0,0,0,0.00319488817891374,0.0559006211180124,0.420711974110032,0,0.0600600600600601,0,0,0.0851063829787234,0
"7",0.208333333333333,0,0,0,0.062111801242236,0,1,0,0,0,0.996784565916399,0,1,0,0,0.97444089456869,0.0807453416149068,0.977346278317152,0,0.27831715210356,0.526143790849673,0,0.0316455696202532,0,0.00321543408360129,0.448916408668731,0,0,0.00958466453674121,0,1,0,0.0720720720720721,0.288461538461538,0,0.481481481481481,0,0.664451827242525,0,0,0,0.342767295597484,0,0,0,0.877742946708464,0,0.184466019417476,0.0603174603174603,0,0.00934579439252336,0.51063829787234,0,0,0,0,0,0.888888888888889,0,0,0.0886850152905199,0,0,0.00906344410876133,0,0.0215384615384615,0,0,0.00940438871473354,0.757188498402556,0.275,0,0,0.188271604938272,0,0.0461538461538462,0.18266253869969,0
"8",0,0,0.651162790697674,0.0522875816993464,0,0,0,1,0,0,0,0.659090909090909,0,0.0191082802547771,0.0473186119873817,0,0,0,0,0,0,0,0,0.446254071661238,0,0,0,0.354304635761589,0,0.527508090614887,0,0,0,0.0359477124183007,0.372239747634069,0,0.633228840125392,0.0202702702702703,0.608414239482201,0,0.370860927152318,0,0.657718120805369,0.206451612903226,0,0,0.00668896321070234,0,0,0.028125,0,0,0,0,0.521311475409836,0.25,0,0,0,0,0,0,0.00338983050847458,0,0.741538461538462,0.488817891373802,0.53525641025641,0,0,0,0,0,0.0264900662251656,0,0.299674267100977,0,0,0.0194805194805195
"9",0,1,0,0.0771704180064309,0,0,0,0,1,0.27639751552795,0,0,0,0.0519877675840979,0.0762195121951219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036036036036036,0,0,0,0,0,0.0335365853658537,0,0.003125,0.00623052959501558,0,0,0.163987138263666,0,0,0.0213414634146341,0,0,0,0,0,0.0581039755351682,0.0581039755351682,0,0.937106918238994,0,0,0,0.878594249201278,0,0,0,0,0.352409638554217,0,0,0,0,0,0,0.00317460317460317,0,0,0
"10",0,0.20265780730897,0,0,0,0,0,0,0.27639751552795,1,0,0,0,0,0,0,0,0,0.240506329113924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043046357615894,0,0,0,0,0,0,0,0,0,0,0,0.296416938110749,0,0,0,0.121311475409836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
