"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"1",1,0,0,0,0,0.0373831775700935,0.131410256410256,0,0,0,0.0784313725490196,0,0.138613861386139,0,0,0.197411003236246,0,0.101639344262295,0,0.976973684210526,0.0264900662251656,0.0235690235690236,0,0,0.0498338870431894,0.0580645161290323,0.0191693290734824,0,0.0334448160535117,0,0.121405750798722,0.0262295081967213,0.639240506329114,0.0191082802547771,0,0.03125,0,0.0402684563758389,0,0.0248447204968944,0,0.0230263157894737,0,0,0.0382165605095541,0.351973684210526,0,0.953795379537954,0.907894736842105,0,0,0.638629283489097,0.00996677740863787,0.0284810126582278,0,0,0,0.0584415584415584,0,0.00662251655629139,0,0.0194805194805195,0,0,0,0,0,0,0,0.392491467576792,0.826366559485531,0.0136518771331058,0,0.967105263157895,0,0,0.990384615384615,0
"2",0,1,0,0.04,0,0,0,0,1,0.0863787375415282,0,0,0,0.00632911392405063,0.0398773006134969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254777070063694,0,0,0,0,0,0.0194174757281553,0,0,0.00316455696202532,0,0,0.100323624595469,0,0,0.0127388535031847,0,0,0,0,0,0.0347003154574132,0.00934579439252336,0,0.922829581993569,0,0,0,0.966666666666667,0,0,0,0,0.244582043343653,0,0,0,0,0,0,0,0,0,0
"3",0,0,1,0.414473684210526,0,0,0,0.617940199335548,0,0,0,0.809210526315789,0,0.0686274509803922,0.440251572327044,0,0,0,0,0,0,0,0,0.0638977635782748,0,0,0,0.06,0,0.196078431372549,0,0,0,0.00977198697068404,0.843949044585987,0,0.148387096774194,0.00342465753424658,0.130990415335463,0,0.509868421052632,0,0.164473684210526,0.340836012861736,0,0,0.354304635761589,0,0,0.281645569620253,0,0,0,0,0.13758389261745,0.659375,0.00970873786407767,0,0,0,0,0,0.00341296928327645,0.00320512820512821,0.319875776397516,0.111464968152866,0.101639344262295,0,0,0,0,0,0.00657894736842105,0,0.213815789473684,0,0,0.00319488817891374
"4",0,0.04,0.414473684210526,1,0,0,0,0.0392156862745098,0.0289389067524116,0,0,0.266025641025641,0,0.345394736842105,0.971153846153846,0,0,0,0.0559210526315789,0,0,0,0,0.0126984126984127,0,0,0,0.0066006600660066,0,0.0779220779220779,0,0,0,0.0033112582781457,0.683229813664596,0,0.016025641025641,0,0.0222929936305732,0,0.366013071895425,0,0.0431893687707641,0.3042071197411,0,0,1,0,0,0.435064935064935,0.00328947368421053,0,0,0,0.0266666666666667,0.846153846153846,0.239482200647249,0,0.175496688741722,0,0,0,0.155932203389831,0.0031055900621118,0.035031847133758,0.0159235668789809,0.00993377483443709,0,0,0,0,0,0,0,0.0498338870431894,0,0,0
"5",0,0,0,0,1,0,0.0434782608695652,0,0,0,0.0338461538461538,0,0.0379746835443038,0,0,0.0462962962962963,0.966360856269113,0.0487804878048781,0,0,0.396166134185303,0,1,0.0851063829787234,0,0.00307692307692308,0,0.448275862068966,0,0,0.0337423312883436,0,0.0029940119760479,0.656050955414013,0,0.315315315315315,0.00895522388059702,0.355555555555556,0.0364741641337386,0,0,0.649068322981366,0,0,0,0.0280373831775701,0,0,0,0,0.646341463414634,0.017910447761194,0,0,0.0872274143302181,0,0,0.131901840490798,0,0,0.969879518072289,0,0,0.778125,0,0.106060606060606,0.0121212121212121,0,0.984615384615385,0.0351437699680511,0.0060790273556231,0,0.968652037617555,0,0,1,0,0.968944099378882
"6",0.0373831775700935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0.99685534591195,0,0,1,0.525373134328358,0.462235649546828,0,0.996815286624204,0,0,0.822429906542056,0.362573099415205,0,0,0,0,0,0,0.997041420118343,0,0,0,0,1,0,0,0.0347003154574132,0.163076923076923,0,0,0.003003003003003,0.309904153354633,1,0,0,0,0,0,0.328220858895706,0,0.44375,0,0,0,0,0,0,0,0.00319488817891374,0.046583850931677,0.385113268608414,0,0.0510510510510511,0,0,0.0486322188449848,0
"7",0.131410256410256,0,0,0,0.0434782608695652,0,1,0,0,0,0.996784565916399,0,1,0,0,0.94888178913738,0.0683229813664596,0.98705501618123,0,0.194174757281553,0.509803921568627,0,0.0253164556962025,0,0.00321543408360129,0.452012383900929,0,0,0.00958466453674121,0,1,0,0.0570570570570571,0.278846153846154,0,0.41358024691358,0,0.667774086378738,0,0,0,0.349056603773585,0,0,0,0.84012539184953,0,0.129449838187702,0.0444444444444444,0,0.00311526479750779,0.47112462006079,0,0,0,0,0,0.888888888888889,0,0,0.0795107033639144,0,0,0,0,0.0184615384615385,0,0,0.00313479623824451,0.728434504792332,0.221875,0,0,0.111111111111111,0,0.04,0.123839009287926,0
"8",0,0,0.617940199335548,0.0392156862745098,0,0,0,1,0,0,0,0.633116883116883,0,0.0159235668789809,0.0378548895899054,0,0,0,0,0,0,0,0,0.381107491856678,0,0,0,0.30794701986755,0,0.488673139158576,0,0,0,0.0326797385620915,0.353312302839117,0,0.601880877742947,0.0101351351351351,0.559870550161812,0,0.354304635761589,0,0.614093959731544,0.12258064516129,0,0,0.00334448160535117,0,0,0.01875,0,0,0,0,0.501639344262295,0.192307692307692,0,0,0,0,0,0,0.00338983050847458,0,0.750769230769231,0.456869009584665,0.423076923076923,0,0,0,0,0,0.0165562913907285,0,0.146579804560261,0,0,0.00974025974025974
"9",0,1,0,0.0289389067524116,0,0,0,0,1,0.149068322981366,0,0,0,0,0.0304878048780488,0,0,0,0.996815286624204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018018018018018,0,0,0,0,0,0.0152439024390244,0,0,0,0,0,0.0932475884244373,0,0,0.00914634146341463,0,0,0,0,0,0.0214067278287462,0.00611620795107034,0,0.905660377358491,0,0,0,0.884984025559105,0,0,0,0,0.274096385542169,0,0,0,0,0,0,0,0,0,0
"10",0,0.0863787375415282,0,0,0,0,0,0,0.149068322981366,1,0,0,0,0,0,0,0,0,0.117088607594937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198675496688742,0,0,0,0,0,0,0,0,0,0,0,0.162866449511401,0,0,0,0.0360655737704918,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",0.0784313725490196,0,0,0,0.0338461538461538,0,0.996784565916399,0,0,0,1,0,0.996805111821086,0,0,0.977707006369427,0.058641975308642,0.996784565916399,0,0.151419558359621,0.562091503267974,0,0.0258064516129032,0,0,0.51875,0,0,0.00634920634920635,0,1,0,0.0369230769230769,0.280757097791798,0,0.487654320987654,0,0.696369636963696,0,0,0,0.368589743589744,0,0,0,0.80448717948718,0,0.103225806451613,0.0128205128205128,0,0.00318471337579618,0.411949685534591,0,0,0,0,0,0.952380952380952,0,0,0.0674846625766871,0,0,0,0,0.0276073619631902,0,0,0.00317460317460317,0.678807947019868,0.205607476635514,0,0,0.0636942675159236,0,0.034375,0.0660377358490566,0.00313479623824451
"12",0,0,0.809210526315789,0.266025641025641,0,0,0,0.633116883116883,0,0,0,1,0,0.0283018867924528,0.288753799392097,0,0,0,0,0,0,0,0,0.278125,0,0,0,0.0512820512820513,0,0.0694006309148265,0,0,0,0.00638977635782748,0.608562691131499,0,0.0940438871473354,0,0.11875,0,0.434504792332268,0,0.198717948717949,0.481366459627329,0,0,0.219745222929936,0,0,0.385579937304075,0,0,0,0,0.0741935483870968,0.429467084639498,0.00305810397553517,0,0,0,0,0,0.00651465798045603,0.0031055900621118,0.355828220858896,0.0694864048338369,0.376175548589342,0,0,0,0,0,0.0125786163522013,0,0.19281045751634,0,0,0.00318471337579618
"13",0.138613861386139,0,0,0,0.0379746835443038,0,1,0,0,0,0.996805111821086,0,1,0,0,0.935064935064935,0.0709876543209877,0.993464052287582,0,0.203333333333333,0.54,0,0.0260586319218241,0,0,0.471153846153846,0,0,0.00657894736842105,0,1,0,0.0495356037151703,0.281967213114754,0,0.416403785488959,0,0.673333333333333,0,0,0,0.351791530944625,0,0,0,0.826797385620915,0,0.120805369127517,0.0260586319218241,0,0.0032258064516129,0.501587301587302,0,0,0,0,0,0.877076411960133,0,0,0.0752351097178683,0,0,0,0,0.0282131661442006,0,0,0.0033112582781457,0.731788079470199,0.21656050955414,0,0,0.099009900990099,0,0.0408805031446541,0.109375,0
