"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"1",1,0,0,0,0.0126582278481013,0.102803738317757,0.253205128205128,0,0,0,0.186274509803922,0,0.273927392739274,0,0,0.307443365695793,0.0159235668789809,0.216393442622951,0,0.924342105263158,0.0695364238410596,0.0875420875420875,0.00961538461538462,0,0.109634551495017,0.106451612903226,0.0575079872204473,0,0.133779264214047,0,0.246006389776358,0.0852459016393443,0.655063291139241,0.0732484076433121,0,0.0875,0,0.104026845637584,0,0.0962732919254658,0,0.0690789473684211,0,0,0.117834394904459,0.424342105263158,0,0.848184818481848,0.819078947368421,0,0,0.710280373831776,0.0398671096345515,0.126582278481013,0,0,0,0.146103896103896,0,0.033112582781457,0.00309597523219814,0.0487012987012987,0,0,0,0.00628930817610063,0,0,0,0.48122866894198,0.755627009646302,0.0477815699658703,0,0.878289473684211,0,0.00630914826498423,0.974358974358974,0
"2",0,1,0,0.116666666666667,0,0,0,0,1,0.362126245847176,0,0,0,0.104430379746835,0.101226993865031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700636942675159,0,0,0,0,0,0.0550161812297735,0,0.00952380952380952,0.0253164556962025,0,0,0.210355987055016,0,0,0.0445859872611465,0,0,0,0,0,0.0977917981072555,0.121495327102804,0,0.964630225080386,0,0,0,0.963333333333333,0,0,0,0,0.43343653250774,0,0,0,0,0,0,0.0260586319218241,0,0,0
"3",0,0,1,0.378289473684211,0,0,0,0.691029900332226,0,0,0,0.858552631578947,0,0.127450980392157,0.383647798742138,0,0,0,0,0,0,0,0,0.210862619808307,0,0,0,0.15,0,0.352941176470588,0,0,0,0.0162866449511401,0.770700636942675,0,0.32258064516129,0.0136986301369863,0.309904153354633,0,0.542763157894737,0,0.335526315789474,0.530546623794212,0,0,0.314569536423841,0,0,0.386075949367089,0,0,0,0,0.278523489932886,0.646875,0.100323624595469,0,0,0,0,0,0.00341296928327645,0.00961538461538462,0.397515527950311,0.267515923566879,0.285245901639344,0,0,0,0,0,0.0296052631578947,0,0.582236842105263,0,0,0.0287539936102236
"4",0,0.116666666666667,0.378289473684211,1,0,0,0,0.065359477124183,0.128617363344051,0,0,0.282051282051282,0,0.743421052631579,0.977564102564103,0,0,0,0.101973684210526,0,0,0,0,0.019047619047619,0,0,0,0.0099009900990099,0,0.11038961038961,0,0,0,0,0.72360248447205,0,0.0288461538461538,0,0.0414012738853503,0,0.581699346405229,0,0.0863787375415282,0.375404530744337,0,0,0.996688741721854,0,0,0.681818181818182,0,0,0,0,0.0433333333333333,0.830128205128205,0.747572815533981,0,0.205298013245033,0,0,0,0.267796610169492,0.0062111801242236,0.0573248407643312,0.0191082802547771,0.0298013245033113,0,0,0,0,0,0.00668896321070234,0,0.438538205980066,0,0,0.00324675324675325
"5",0.0126582278481013,0,0,0,1,0,0.0900621118012422,0,0,0,0.0769230769230769,0,0.0791139240506329,0,0,0.0864197530864197,0.975535168195719,0.11280487804878,0,0.021671826625387,0.434504792332268,0,1,0.148936170212766,0,0.0123076923076923,0,0.467084639498433,0,0.0126984126984127,0.0797546012269939,0,0.0029940119760479,0.659235668789809,0,0.36036036036036,0.0149253731343284,0.415873015873016,0.0395136778115502,0,0,0.677018633540373,0,0,0,0.0685358255451713,0,0.00632911392405063,0,0,0.835365853658537,0.0417910447761194,0,0,0.118380062305296,0,0,0.184049079754601,0,0,0.975903614457831,0,0,0.859375,0,0.124242424242424,0.0363636363636364,0,0.981538461538462,0.0638977635782748,0.00911854103343465,0,0.927899686520376,0,0,0.997032640949555,0.0184049079754601,0.928571428571429
"6",0.102803738317757,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00313479623824451,0,0,0,0.00914634146341463,0,0.984276729559748,0,0,0.996894409937888,0.507462686567164,0.574018126888218,0,0.993630573248408,0,0,0.869158878504673,0.441520467836257,0,0,0,0,0,0,0.994082840236686,0,0,0,0,0.996987951807229,0.00311526479750779,0,0.10410094637224,0.323076923076923,0,0,0.00900900900900901,0.469648562300319,0.996987951807229,0,0,0,0,0,0.484662576687117,0,0.546875,0,0,0,0,0,0,0,0.00638977635782748,0.102484472049689,0.498381877022654,0,0.111111111111111,0,0,0.13677811550152,0
"7",0.253205128205128,0,0,0,0.0900621118012422,0,1,0,0,0,0.996784565916399,0,1,0,0,0.977635782747604,0.108695652173913,0.97411003236246,0,0.368932038834951,0.529411764705882,0,0.060126582278481,0,0.00321543408360129,0.464396284829721,0,0,0.0159744408945687,0,1,0,0.0780780780780781,0.314102564102564,0,0.509259259259259,0,0.654485049833887,0,0,0,0.367924528301887,0,0,0,0.893416927899687,0,0.239482200647249,0.0698412698412698,0,0.0124610591900312,0.577507598784195,0,0.00306748466257669,0,0,0,0.879365079365079,0,0,0.119266055045872,0,0,0.0120845921450151,0,0.0276923076923077,0,0,0.0250783699059561,0.78594249201278,0.3125,0,0,0.234567901234568,0,0.0615384615384615,0.253869969040248,0
"8",0,0,0.691029900332226,0.065359477124183,0,0,0,1,0,0,0,0.694805194805195,0,0.0382165605095541,0.0662460567823344,0,0,0,0,0,0,0,0,0.501628664495114,0,0,0,0.377483443708609,0,0.592233009708738,0,0,0,0.0326797385620915,0.362776025236593,0,0.695924764890282,0.027027027027027,0.669902912621359,0,0.360927152317881,0,0.721476510067114,0.306451612903226,0,0,0.00668896321070234,0,0,0.065625,0,0,0,0,0.577049180327869,0.275641025641026,0,0,0,0,0,0,0.00338983050847458,0.00318471337579618,0.76,0.549520766773163,0.644230769230769,0,0,0,0,0,0.0463576158940397,0,0.381107491856678,0,0,0.0357142857142857
"9",0,1,0,0.128617363344051,0,0,0,0,1,0.416149068322981,0,0,0,0.119266055045872,0.115853658536585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600600600600601,0,0,0,0,0,0.0579268292682927,0,0.0125,0.0280373831775701,0,0,0.234726688102894,0,0,0.0426829268292683,0,0,0,0,0,0.0978593272171254,0.131498470948012,0,0.965408805031447,0,0,0,0.894568690095847,0,0,0,0,0.466867469879518,0,0,0,0,0,0,0.0349206349206349,0,0,0
"10",0,0.362126245847176,0,0,0,0,0,0,0.416149068322981,1,0,0,0,0,0,0,0,0,0.417721518987342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496688741721854,0,0,0,0,0,0,0,0,0,0.0123456790123457,0,0.420195439739414,0,0,0,0.278688524590164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
