"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238"
"1",1,0.619496855345912,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0996978851963746,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0.761467889908257,1,1,0,1,1,0.00630914826498423,1,1,0,1,0.597058823529412,0,1,0,1,1,1,0,0,0,0,1,0,0.770186335403727,1,1,1,0.60126582278481,0,1,0,0,0,1,1,0,0.884498480243161,1,1,1,1,0,0.149532710280374,0,0,0,0.11854103343465,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.00892857142857143,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0.00611620795107034,0,0,0,1,0,0,0,0,0.11890243902439,0,0.764516129032258,0,0,0,1,0,0,0.937888198757764,0.716049382716049,1,0,1,0,1,0,1,0,0.670731707317073,1,0,0,0,0,0,0,0,0.618296529968454,0,1,0.00914634146341463,0,0,1,0,0,0,0,0,0.124600638977636,0,0.15,0,0,0,0,1,0.0123839009287926,0,0,0,1,0,0,0,0
"2",0.619496855345912,1,0.37741935483871,0,0.627329192546584,0.366666666666667,0,0.309677419354839,0,0.64375,0.35625,0.365625,0.624183006535948,0.641104294478528,0.01,0,0,0.345047923322684,0.628125,0.631578947368421,0.373376623376623,0.636986301369863,0.649350649350649,0.643962848297214,0.627009646302251,0.636075949367089,0.628930817610063,0.643533123028391,0.641269841269841,0.628664495114006,0.655063291139241,0,0.625,0.632716049382716,0.357594936708861,0.659375,0.633228840125392,0.618122977346278,0.46031746031746,0.632911392405063,0.641447368421053,0.640625,0.365625,0.344051446945338,0,0,0.632716049382716,0.620805369127517,0.615141955835962,0.628664495114006,0.643533123028391,0.381877022653722,0.646496815286624,0.338762214983713,0,0.636655948553055,0.622149837133551,0.371335504885993,0,0.645367412140575,0.368078175895765,0.611464968152866,0.625,0.619047619047619,0.871794871794872,0.654088050314465,0.62379421221865,0.345679012345679,0.642405063291139,0.648829431438127,0.377049180327869,0.632258064516129,0.645161290322581,0,0.641025641025641,0.963414634146341,0.380645161290323,0.642633228840125,0.35,0.632075471698113,0.647058823529412,0.626582278481013,0,0.20820189274448,0.363057324840764,0.266447368421053,0.639072847682119,0.362459546925566,0.851612903225806,0.642405063291139,0.621794871794872,0.638436482084691,0.993485342019544,0,0.644230769230769,0,0.284810126582278,0,0.786407766990291,0.651465798045603,0.00630914826498423,0.685534591194969,0.627450980392157,0.633440514469453,0.625396825396825,0.634674922600619,0.293159609120521,0.511182108626198,0.346031746031746,0.386363636363636,0.12621359223301,0.5,0,0.633440514469453,0.200636942675159,0,0,0,0.365558912386707,0.356913183279743,0.34384858044164,0.642201834862385,0,0,0,0,0.636986301369863,0,0,0.230769230769231,0,0,0,0,0.638709677419355,0.386996904024768,0.226837060702875,0.633757961783439,0.623376623376623,0.358024691358025,0,0.22258064516129,0,0.340836012861736,0.389937106918239,0.648387096774194,0.64,0,0,0,0.646496815286624,0.361290322580645,0,0,0,0,0,0,0.618181818181818,0.632911392405063,0,0.363036303630363,0,0.382165605095541,0,0.643533123028391,0.635782747603834,0.63125,0.629283489096573,0.404605263157895,0.642633228840125,0,0.366771159874608,0,0,0.401273885350318,0.641269841269841,0.304635761589404,0.371875,0.362126245847176,0.221153846153846,0.509375,0,0.866666666666667,0,0.335463258785943,0.117460317460317,0.638888888888889,0.222929936305732,0,0.704545454545455,0.852459016393443,0.627906976744186,0.368932038834951,0.61437908496732,0.125806451612903,0.643086816720257,0,0.636363636363636,0.354545454545455,0.96583850931677,0.621794871794872,0.369905956112853,0.356913183279743,0.358064516129032,0,0,0.123417721518987,0.382636655948553,0.993464052287582,0.00940438871473354,0.641693811074919,0.35031847133758,0.359872611464968,0,0.633228840125392,0,0,0.307692307692308,0.00626959247648903,0,0.503267973856209,0.366559485530547,0.50920245398773,0.136075949367089,0,0.355345911949686,0.382636655948553,0.618296529968454,0.396774193548387,0,0.364779874213836,0.347972972972973,0.630718954248366,0,0.0100334448160535,0.13013698630137,0.366559485530547
"3",0,0.37741935483871,1,0,0,1,0,0.950310559006211,0,0,1,1,0,0,0.188925081433225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.893292682926829,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0845921450151057,0,1,0,0,0,0.239130434782609,0,0,1,0,0,0.993610223642173,0,0,0.00316455696202532,0,0.395209580838323,1,0,1,0,0,0,0.149847094801223,0.871473354231975,1,0.907936507936508,0,1,0.216300940438871,0,0,0,0.390092879256966,0,0,0,0.936908517350158,0.0895061728395062,0,0,0.210843373493976,0.115264797507788,0,0,0,0,0.920634920634921,0.859375,1,1,0.680645161290323,0.877675840978593,0.0985074626865672,0,0.850931677018634,0.0124610591900312,0.0920634920634921,0,1,1,1,0,0,0.0911949685534591,0,0,0,0.143730886850153,0.0825688073394495,0.867549668874172,0,0,0,0,0,0.990909090909091,0.860681114551084,0,0,1,0,0.868167202572347,0.0467289719626168,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.993788819875776,0,0.00619195046439629,1,0,0.954692556634304,1,1,0.845425867507886,0.876543209876543,0,0.226837060702875,0,1,0.739263803680982,0,0.850467289719626,0,0.0559006211180124,0.291139240506329,0,1,0,0.765625,0,0.0822784810126582,0,1,0.326086956521739,0,1,1,1,0,0,0.701587301587302,1,0.39375,0.184049079754601,0,0.990769230769231,1,0,0,0,0,1,0.18348623853211,0,0.86,1,0.83987915407855,0.727554179566563,0,1,1,0,0.987460815047022,0.0876132930513595,1,1,0,0,0.188854489164087,0.707236842105263,1
"4",0,0,0,1,0,0,1,0.037037037037037,1,0,0,0,0,0,0.791666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.901492537313433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990625,0,0,0,0,0,0,0,0,0.833333333333333,0.125,0,0.0654205607476635,0,0,0,0,0,0,0,1,0,1,0.0495356037151703,0.900900900900901,0,0,0.751497005988024,0,0,0,0,0,0.0569620253164557,0,0,0,0.274691358024691,0,0.892215568862275,0,0.13312693498452,0.981481481481482,0.894568690095847,1,0,0,0,0,1,0.888198757763975,1,1,0,0.83596214511041,0.902140672782875,0.103896103896104,1,1,1,1,0,0,0.117647058823529,0,0,0,1,0.11,0.946540880503145,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0.996884735202492,0,0,0.0380952380952381,0,0,0.126984126984127,0,1,0,1,0,0.241486068111455,0,0.123456790123457,1,0,0,0,0,0,0.213836477987421,0,0.910769230769231,0,0,0,0,0,0,0,1,1,0.279503105590062,0,0,0.790769230769231,0,0,0,1,0,1,1,0,0.788990825688073,1,0,0,0,0.231003039513678,1,0,0,0,0,0.904477611940299,0,0,0,1,0.784615384615385,0.257425742574257,0
"5",1,0.627329192546584,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.090625,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0.748447204968944,1,1,0,1,1,0.00619195046439629,1,1,0,1,0.602941176470588,0,1,0,1,1,1,0,0,0,0,1,0,0.776729559748428,1,1,1,0.60952380952381,0,1,0,0,0,1,1,0,0.875,1,1,1,1,0,0.145110410094637,0,0,0,0.124242424242424,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.00906344410876133,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0.00611620795107034,0,0,0,1,0,0,0,0,0.12111801242236,0,0.77602523659306,0,0,0,1,0,0,0.943037974683544,0.7125,1,0,1,0,1,0,1,0,0.673846153846154,1,0,0,0,0,0,0,0,0.614649681528662,0,1,0.0093167701863354,0,0,1,0,0,0,0,0,0.138709677419355,0,0.166666666666667,0,0,0,0,1,0.0189274447949527,0,0,0,1,0,0,0,0
"6",0,0.366666666666667,1,0,0,1,0,0.944262295081967,0,0,1,1,0,0,0.181506849315068,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.897435897435897,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0809061488673139,0,1,0,0,0,0.238709677419355,0,0,1,0,0,0.99344262295082,0,0,0.00671140939597315,0,0.410658307210031,1,0,1,0,0,0,0.13961038961039,0.858085808580858,1,0.891447368421053,0,1,0.234113712374582,0,0,0,0.383870967741935,0,0,0,0.926666666666667,0.084375,0,0,0.23202614379085,0.129449838187702,0,0,0,0,0.902356902356902,0.862068965517241,1,1,0.668831168831169,0.87378640776699,0.0888888888888889,0,0.832214765100671,0.0164473684210526,0.08,0,1,1,1,0,0,0.0950819672131148,0,0,0,0.134426229508197,0.0868167202572347,0.872852233676976,0,0,0,0,0,0.990536277602524,0.849829351535836,0,0,1,0,0.860627177700348,0.067741935483871,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.993485342019544,0,0.00657894736842105,1,0,0.956228956228956,1,1,0.842809364548495,0.896440129449838,0,0.225165562913907,0,1,0.73462783171521,0,0.842622950819672,0,0.0559210526315789,0.298013245033113,0,1,0,0.753333333333333,0,0.0777027027027027,0,1,0.325806451612903,0,1,1,1,0,0,0.677740863787375,1,0.383561643835616,0.183279742765273,0,0.990384615384615,1,0,0,0,0,1,0.180921052631579,0,0.868965517241379,1,0.851735015772871,0.719869706840391,0,1,1,0,0.983443708609272,0.077639751552795,1,1,0,0,0.189189189189189,0.680555555555556,1
"7",0,0,0,1,0,0,1,0.0492307692307692,1,0,0,0,0,0,0.797427652733119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.917933130699088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990683229813665,0,0,0,0,0,0,0,0,0.849397590361446,0.148264984227129,0,0.101587301587302,0,0,0,0,0,0,0,1,0,1,0.060126582278481,0.912912912912913,0,0,0.764525993883792,0,0,0,0,0,0.0883280757097792,0,0,0,0.31974921630094,0,0.911854103343465,0,0.167192429022082,0.980891719745223,0.904458598726115,1,0,0,0,0,1,0.901234567901235,1,1,0,0.845911949685535,0.904907975460123,0.137820512820513,1,1,1,1,0,0,0.151234567901235,0,0,0,1,0.150326797385621,0.941358024691358,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0.996835443037975,0,0,0.0457516339869281,0,0,0.156739811912226,0,1,0,1,0,0.26625386996904,0,0.159375,1,0,0,0,0,0,0.246875,0,0.919254658385093,0,0,0,0,0,0,0,1,1,0.304615384615385,0,0,0.799382716049383,0,0,0,1,0,1,1,0,0.803625377643505,1,0,0,0,0.267477203647416,1,0,0,0,0,0.918429003021148,0,0,0,1,0.798107255520505,0.304918032786885,0
"8",0,0.309677419354839,0.950310559006211,0.037037037037037,0,0.944262295081967,0.0492307692307692,1,0.0428134556574924,0,0.942771084337349,0.948170731707317,0,0,0.238244514106583,0.0498442367601246,0.0547112462006079,0.954268292682927,0,0,0.942492012779553,0,0,0,0,0,0,0,0,0,0,0.0352564102564103,0,0,0.948484848484848,0,0,0,0.853211009174312,0,0,0,0.945945945945946,0.94478527607362,0.0481927710843374,0.0625,0,0,0,0,0,0.951298701298701,0,0.96551724137931,0.046583850931677,0,0,0.94551282051282,0.154545454545455,0,0.94375,0,0,0,0.190625,0,0,0.948640483383686,0,0,0.949526813880126,0,0,0.06875,0,0.316265060240964,0.949044585987261,0,0.954983922829582,0,0,0,0.207207207207207,0.924764890282132,0.947530864197531,0.981424148606811,0,0.947530864197531,0.162939297124601,0,0,0,0.31974921630094,0.0191082802547771,0,0.0430769230769231,1,0.16012084592145,0,0,0.277777777777778,0.0914634146341463,0,0,0,0,0.977917981072555,0.799363057324841,0.938080495356037,0.942122186495177,0.755417956656347,0.815950920245399,0.162162162162162,0,0.921630094043887,0.06875,0.148264984227129,0.0536277602523659,0.94311377245509,0.96594427244582,0.959752321981424,0,0.0579268292682927,0.161392405063291,0.0514469453376206,0.0416666666666667,0,0.200617283950617,0.155015197568389,0.918300653594771,0.0429447852760736,0.0338461538461538,0.0536277602523659,0.0489296636085627,0,0.936746987951807,0.925,0,0,0.947852760736196,0.0523076923076923,0.915584415584416,0.104294478527607,0.958990536277603,0.945121951219512,0,0,0.0434782608695652,0.0529595015576324,0.0634920634920635,0,0.94392523364486,0.0493827160493827,0.0524691358024691,0.0534591194968553,0.0455927051671733,0.0560747663551402,0.0507462686567164,0,0,0.0422960725075529,0.954545454545455,0.0403726708074534,0.95,0.0507462686567164,0,0,0,0,0.940438871473354,0,0.065015479876161,0.940625,0.0496894409937888,0.046875,0.942492012779553,0,0.906148867313916,0.941176470588235,0.932907348242812,0.904761904761905,0.81039755351682,0.0635451505016722,0.170347003154574,0.0512048192771084,0.962732919254658,0.808176100628931,0,0.922118380062305,0.0536277602523659,0.0379746835443038,0.20625,0,0.955271565495208,0,0.820987654320988,0,0.135220125786164,0,0.949554896142433,0.276073619631902,0,0.952095808383233,0.953560371517028,0.947530864197531,0.0492307692307692,0.0444444444444444,0.770186335403727,0.951923076923077,0.313915857605178,0.244648318042813,0,0.940438871473354,0.955974842767296,0.059748427672956,0,0.0586319218241042,0.0553846153846154,0.949044585987261,0.225609756097561,0.0569620253164557,0.805921052631579,0.95046439628483,0.792284866468843,0.788990825688073,0.0527950310559006,0.951219512195122,0.94375,0,0.925233644859813,0.13719512195122,0.951367781155015,0.94551282051282,0,0.0625,0.246056782334385,0.76797385620915,0.951070336391437
"9",0,0,0,1,0,0,1,0.0428134556574924,1,0,0,0,0,0,0.804560260586319,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.910179640718563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996825396825397,0,0,0,0,0,0,0,0,0.843843843843844,0.133540372670807,0,0.0838509316770186,0,0,0,0,0,0,0,1,0,1,0.05625,0.910216718266254,0,0,0.762917933130699,0,0,0,0,0,0.0769230769230769,0,0,0,0.296875,0,0.898203592814371,0,0.146417445482866,0.987616099071207,0.907936507936508,1,0,0,0,0,1,0.899686520376176,1,1,0,0.851393188854489,0.909638554216867,0.122977346278317,1,1,1,1,0,0,0.132911392405063,0,0,0,1,0.129449838187702,0.948012232415902,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0.99375,0,0,0.0387096774193548,0,0,0.136942675159236,0,1,0,1,0,0.251515151515152,0,0.138888888888889,1,0,0,0,0,0,0.236024844720497,0,0.912772585669782,0,0,0,0,0,0,0,1,1,0.29874213836478,0,0,0.803625377643505,0,0,0,1,0,1,1,0,0.800604229607251,1,0,0,0,0.257668711656442,1,0,0,0,0,0.908011869436202,0,0,0,1,0.79874213836478,0.293729372937294,0
"10",1,0.64375,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0917159763313609,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0.76969696969697,1,1,0,1,1,0.00615384615384615,1,1,0,1,0.613180515759312,0,1,0,1,1,1,0,0,0,0,1,0,0.791411042944785,1,1,1,0.618012422360248,0,1,0,0,0,1,1,0,0.882175226586103,1,1,1,1,0,0.13719512195122,0,0,0,0.115727002967359,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.00884955752212389,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0.00604229607250755,0,0,0,1,0,0,0,0,0.115501519756839,0,0.787037037037037,0,0,0,1,0,0,0.953416149068323,0.725075528700906,1,0,1,0,1,0,1,0,0.684848484848485,1,0,0,0,0,0,0,0,0.63125,0,1,0.00903614457831325,0,0,1,0,0,0,0,0,0.126984126984127,0,0.155172413793103,0,0,0,0,1,0.0154320987654321,0,0,0,1,0,0,0,0
